"函数名"	"定义位置"	"固定字符串出现次数"	"清单条目数"	"原始签名"	"功能备注"	"功能签名"	"迁移归属建议"	"风险标记"
"二次特征类::删除二次特征"	"二次特征类.cpp:705"	"1"	"1"	"bool 二次特征类::删除二次特征(二次特征节点类* 节点)"	"删除指定对象、状态或登记项。"	"类别=清理;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::刷新度量签名_链键"	"二次特征类.cpp:1301"	"1"	"1"	"bool 二次特征类::刷新度量签名_链键(二次特征节点类* 节点)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::刷新概念模板"	"二次特征类.cpp:1310"	"1"	"1"	"bool 二次特征类::刷新概念模板(二次特征节点类* 节点)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::按差值命中概念节点"	"二次特征类.cpp:642"	"1"	"1"	"二次特征节点类* 二次特征类::按差值命中概念节点(二次特征节点类* 链根, I64 差值)"	"按函数名执行对应处理。"	"类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::枚举全部二次特征"	"二次特征类.cpp:723"	"1"	"1"	"std::vector<二次特征节点类*> 二次特征类::枚举全部二次特征() const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::注册概念小区间"	"二次特征类.cpp:594"	"1"	"1"	"二次特征节点类* 二次特征类::注册概念小区间( 二次特征节点类* 任意域节点或链根, const I64区间& 区间, const 语素入口节点类* 概念名称)"	"注册方法、模板、对象或运行入口。"	"类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::用概念名称反查节点"	"二次特征类.cpp:678"	"1"	"1"	"二次特征节点类* 二次特征类::用概念名称反查节点(二次特征节点类* 链根, const 语素入口节点类* 概念名称)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::私有_写入标量值_已取主信息"	"二次特征类.cpp:1040"	"1"	"1"	"bool 二次特征类::私有_写入标量值_已取主信息( 二次特征节点类* 节点, 二次特征主信息类* 主信息, I64 标量值, bool 是否满足, I64 置信度, std::uint64_t 主信息读取耗时微秒, 时间戳 观测时间戳, bool 跳过内部采样)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::私有_写入离散值_已取主信息"	"二次特征类.cpp:1199"	"1"	"1"	"bool 二次特征类::私有_写入离散值_已取主信息( 二次特征节点类* 节点, 二次特征主信息类* 主信息, std::int32_t 离散编码, const std::string& 离散语义键, 枚举_二次特征值形态 值形态, I64 置信度, std::uint64_t 主信息读取耗时微秒, 时间戳 观测时间戳,"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::私有_确保默认概念刻度"	"二次特征类.cpp:1509"	"1"	"1"	"void 二次特征类::私有_确保默认概念刻度(二次特征节点类* 链根)"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::绑定场景"	"二次特征类.cpp:747"	"1"	"1"	"bool 二次特征类::绑定场景(二次特征节点类* 节点, 场景节点类* 所属场景)"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::绑定基础信息"	"二次特征类.cpp:320"	"1"	"1"	"void 二次特征类::绑定基础信息(基础信息类* 基础信息) noexcept"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=特征;约束=noexcept"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::绑定来源"	"二次特征类.cpp:882"	"1"	"1"	"bool 二次特征类::绑定来源( 二次特征节点类* 节点, 状态节点类* 来源起始状态, 状态节点类* 来源结果状态, 动态节点类* 来源动态, 场景节点类* 来源场景, std::uint32_t 来源动态层级, std::uint64_t 来源动态路径签名, 枚举_二次特征来源类型 来源类型,"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::获取子二次特征"	"二次特征类.cpp:735"	"1"	"1"	"std::vector<二次特征节点类*> 二次特征类::获取子二次特征(const 基础信息节点类* 父节点) const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::获取或创建子二次特征_按签名"	"二次特征类.cpp:369"	"1"	"1"	"二次特征节点类* 二次特征类::获取或创建子二次特征_按签名( 基础信息节点类* 父节点, const 二次特征主信息类& 模板)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::获取或创建度量链根"	"二次特征类.cpp:562"	"1"	"1"	"二次特征节点类* 二次特征类::获取或创建度量链根( const std::string& 度量签名_链键, 枚举_二次特征种类 种类)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::获取或创建概念树根"	"二次特征类.cpp:539"	"1"	"1"	"二次特征节点类* 二次特征类::获取或创建概念树根()"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::设置主体客体"	"二次特征类.cpp:961"	"1"	"1"	"bool 二次特征类::设置主体客体(二次特征节点类* 节点, 基础信息节点类* 主体, 基础信息节点类* 客体)"	"设置对象字段、状态或运行参数。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::设置左右对象"	"二次特征类.cpp:973"	"1"	"1"	"bool 二次特征类::设置左右对象(二次特征节点类* 节点, 基础信息节点类* 左对象, 基础信息节点类* 右对象)"	"设置对象字段、状态或运行参数。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"二次特征类::设置生成语义"	"二次特征类.cpp:859"	"1"	"1"	"bool 二次特征类::设置生成语义( 二次特征节点类* 节点, 枚举_二次特征域 域, 枚举_二次特征粒度 粒度, 枚举_二次特征基准类型 基准类型, 枚举_时间归一方式 时间归一方式, 枚举_二次特征值形态 值形态)"	"根据当前输入生成目标数据、场景、动态或回执。"	"类别=生成;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=无显式约束"	"专用类/对应头文件：特征"	"待复核"
"任务类::任务管理对象指向"	"任务类.cpp:1681"	"1"	"1"	"bool 任务类::任务管理对象指向(const 节点类* 任务节点, const 节点类* 目标任务) noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务失败次数"	"任务类.cpp:2114"	"1"	"1"	"bool 任务类::写入任务失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务局部优先级偏移"	"任务类.cpp:1994"	"1"	"1"	"bool 任务类::写入任务局部优先级偏移(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务局部运行实体特征"	"任务类.cpp:1371"	"1"	"1"	"bool 任务类::写入任务局部运行实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, I64 当前状态值, std::uintptr_t 当前步骤前沿, std::uintptr_t 最近局部结果, I64 局部完成度, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务成功次数"	"任务类.cpp:2102"	"1"	"1"	"bool 任务类::写入任务成功次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务控制实体特征"	"任务类.cpp:1331"	"1"	"1"	"bool 任务类::写入任务控制实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, I64 队列状态值, I64 全局优先级, I64 解阻加权, I64 时间预算_ms, I64 资源预算, std::uint64_t 绑定工作线程ID,"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务最近错误码"	"任务类.cpp:2150"	"1"	"1"	"bool 任务类::写入任务最近错误码(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务根实体特征"	"任务类.cpp:1303"	"1"	"1"	"bool 任务类::写入任务根实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, std::uintptr_t 来源需求指针, std::uintptr_t 世界任务根指针, std::uintptr_t 父任务指针, std::uintptr_t 管理对象任务指针, I64 初始授权等级, bool 只读,"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务管理对象任务"	"任务类.cpp:1698"	"1"	"1"	"bool 任务类::写入任务管理对象任务( 节点类* 任务节点, 节点类* 管理对象任务, 场景节点类* 承载场景, 时间戳 now) noexcept"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务转入缺口需求次数"	"任务类.cpp:2138"	"1"	"1"	"bool 任务类::写入任务转入缺口需求次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务运行次数"	"任务类.cpp:2090"	"1"	"1"	"bool 任务类::写入任务运行次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::写入任务连续失败次数"	"任务类.cpp:2126"	"1"	"1"	"bool 任务类::写入任务连续失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::创建任务头结点"	"任务类.cpp:2195"	"1"	"1"	"任务类::节点类* 任务类::创建任务头结点( 需求节点类* 来源需求, 节点类* 上级任务节点, 时间戳 now)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::同步任务特征使用统计"	"任务类.cpp:2156"	"1"	"1"	"bool 任务类::同步任务特征使用统计( 节点类* 任务头结点, const 结构_特征使用统计& 统计, 枚举_特征生命周期 生命周期, 场景节点类* 承载场景, 时间戳 now)"	"同步线程、任务、场景或对象之间的状态。"	"类别=更新;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::应用任务状态"	"任务类.cpp:1634"	"1"	"1"	"void 任务类::应用任务状态(节点类* 任务节点, 枚举_任务状态 新状态, 时间戳 now) noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::标记任务已承接"	"任务类.cpp:1589"	"1"	"1"	"void 任务类::标记任务已承接(节点类* 任务节点, 时间戳 now) noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::标记任务已派发"	"任务类.cpp:1604"	"1"	"1"	"void 任务类::标记任务已派发(节点类* 任务节点, 时间戳 now) noexcept"	"派发任务、消息或运行请求。"	"类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::标记任务待重筹办"	"任务类.cpp:1569"	"1"	"1"	"void 任务类::标记任务待重筹办(节点类* 任务节点, 时间戳 now) noexcept"	"推进任务筹办，形成候选、缺口或就绪回执。"	"类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::标记任务等待"	"任务类.cpp:1580"	"1"	"1"	"void 任务类::标记任务等待(节点类* 任务节点, 时间戳 now) noexcept"	"等待线程、任务、外设或条件变化。"	"类别=等待;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::标记任务负载等待"	"任务类.cpp:1619"	"1"	"1"	"void 任务类::标记任务负载等待(节点类* 任务节点, 时间戳 now) noexcept"	"等待线程、任务、外设或条件变化。"	"类别=等待;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"专用类/对应头文件：任务"	"待复核"
"任务类::补齐任务虚拟存在概念集"	"任务类.cpp:1252"	"1"	"1"	"bool 任务类::补齐任务虚拟存在概念集( 节点类* 任务头结点, 场景节点类* 承载场景, 时间戳 now)"	"补齐条件、参数、证据或方法能力缺口。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"任务类::读取任务特征账本生命周期标准特征"	"任务类.cpp:2175"	"1"	"1"	"I64 任务类::读取任务特征账本生命周期标准特征( 节点类* 任务头结点, I64 默认值, 场景节点类* 承载场景, 时间戳 now)"	"从指定来源读取数据或状态。"	"类别=读取;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=无显式约束"	"专用类/对应头文件：任务"	"待复核"
"动态类::允许生成场景动态"	"动态类.cpp:958"	"1"	"1"	"bool 动态类::允许生成场景动态( 场景节点类* 父场景, 场景节点类* 子场景, 状态节点类* 初始状态, 状态节点类* 结果状态) const noexcept"	"根据当前输入生成目标数据、场景、动态或回执。"	"类别=生成;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=noexcept"	"专用类/对应头文件：动态"	"待复核"
"动态类::允许生成存在动态"	"动态类.cpp:939"	"1"	"1"	"bool 动态类::允许生成存在动态( 场景节点类* 观察场景, 存在节点类* 被观察存在, 状态节点类* 初始状态, 状态节点类* 结果状态) const noexcept"	"根据当前输入生成目标数据、场景、动态或回执。"	"类别=生成;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=noexcept"	"专用类/对应头文件：动态"	"待复核"
"动态类::允许生成方法动作动态"	"动态类.cpp:977"	"1"	"1"	"bool 动态类::允许生成方法动作动态(const 方法节点类* 来源动作) const noexcept"	"根据当前输入生成目标数据、场景、动态或回执。"	"类别=生成;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=noexcept"	"专用类/对应头文件：动态"	"待复核"
"动态类::允许生成状态动态"	"动态类.cpp:928"	"1"	"1"	"bool 动态类::允许生成状态动态(场景节点类* 场景, 状态节点类* 初始状态, 状态节点类* 结果状态) const noexcept"	"根据当前输入生成目标数据、场景、动态或回执。"	"类别=生成;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=noexcept"	"专用类/对应头文件：动态"	"待复核"
"动态类::创建动作动态"	"动态类.cpp:750"	"1"	"1"	"动态节点类* 动态类::创建动作动态( 场景节点类* 场景, 基础信息节点类* 动态主体, 特征节点类* 动态特征, 时间戳 开始时间, 时间戳 结束时间)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::创建叶子动态"	"动态类.cpp:740"	"1"	"1"	"动态节点类* 动态类::创建叶子动态( 场景节点类* 场景, 状态节点类* 初始状态, 状态节点类* 结果状态, 时间戳 now)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::创建场景动态"	"动态类.cpp:880"	"1"	"1"	"动态节点类* 动态类::创建场景动态( 场景节点类* 父场景, 场景节点类* 子场景, 状态节点类* 初始状态, 状态节点类* 结果状态, 动态节点类* 来源低层动态, 时间戳 now)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::创建存在动态"	"动态类.cpp:832"	"1"	"1"	"动态节点类* 动态类::创建存在动态( 场景节点类* 观察场景, 存在节点类* 被观察存在, 状态节点类* 初始状态, 状态节点类* 结果状态, 动态节点类* 来源低层动态, 时间戳 now)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::创建方法动作动态"	"动态类.cpp:779"	"1"	"1"	"动态节点类* 动态类::创建方法动作动态( 场景节点类* 场景, 基础信息节点类* 动态主体, 特征节点类* 动态特征, 方法节点类* 来源动作, const 语素入口节点类* 来源动作名, 时间戳 开始时间, 时间戳 结束时间, bool 执行成功,"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::删除动态"	"动态类.cpp:983"	"1"	"1"	"bool 动态类::删除动态(动态节点类* 节点)"	"删除指定对象、状态或登记项。"	"类别=清理;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::枚举全部动态"	"动态类.cpp:1003"	"1"	"1"	"std::vector<动态节点类*> 动态类::枚举全部动态() const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::查找相邻前状态"	"动态类.cpp:1036"	"1"	"1"	"状态节点类* 动态类::查找相邻前状态(场景节点类* 场景, 状态节点类* 新状态) const"	"按条件查找目标对象、方法或事实。"	"类别=查找;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::状态记录后刷新动态"	"动态类.cpp:1172"	"1"	"1"	"动态节点类* 动态类::状态记录后刷新动态( 场景节点类* 场景, 状态节点类* 新状态, 时间戳 now)"	"记录日志、动态、证据或运行痕迹。"	"类别=日志;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::绑定基础信息"	"动态类.cpp:474"	"1"	"1"	"void 动态类::绑定基础信息(基础信息类* 基础信息) noexcept"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=动态;约束=noexcept"	"专用类/对应头文件：动态"	"待复核"
"动态类::绑定来源场景"	"动态类.cpp:1249"	"1"	"1"	"bool 动态类::绑定来源场景(动态节点类* 节点, 场景节点类* 输入场景, 场景节点类* 输出场景)"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::绑定来源方法"	"动态类.cpp:1231"	"1"	"1"	"bool 动态类::绑定来源方法( 动态节点类* 节点, 方法节点类* 来源动作, const 语素入口节点类* 来源动作名, 枚举_动作事件相位 相位)"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::获取场景动态"	"动态类.cpp:1015"	"1"	"1"	"std::vector<动态节点类*> 动态类::获取场景动态(const 场景节点类* 场景) const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::设置业务语义类型"	"动态类.cpp:1183"	"1"	"1"	"bool 动态类::设置业务语义类型(动态节点类* 节点, 枚举_动态业务语义类型 类型)"	"设置对象字段、状态或运行参数。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::设置主体特征"	"动态类.cpp:1196"	"1"	"1"	"bool 动态类::设置主体特征(动态节点类* 节点, 基础信息节点类* 主体, 特征节点类* 特征)"	"设置对象字段、状态或运行参数。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::设置聚合信息"	"动态类.cpp:1208"	"1"	"1"	"bool 动态类::设置聚合信息(动态节点类* 节点, std::uint32_t 动态层级, 枚举_动态聚合方式 聚合方式)"	"设置对象字段、状态或运行参数。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"动态类::追加来源低层动态"	"动态类.cpp:1219"	"1"	"1"	"bool 动态类::追加来源低层动态(动态节点类* 节点, 动态节点类* 来源低层动态)"	"按函数名执行对应处理。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=动态;约束=无显式约束"	"专用类/对应头文件：动态"	"待复核"
"因果类::二次特征匹配模板"	"因果类.cpp:1902"	"1"	"1"	"bool 因果类::二次特征匹配模板(const 二次特征节点类* 二次特征, const 二次特征节点类* 模板) const noexcept"	"按函数名执行对应处理。"	"类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=因果;约束=noexcept"	"专用类/对应头文件：因果"	"待复核"
"因果类::创建因果模板"	"因果类.cpp:1124"	"1"	"1"	"因果模板节点类* 因果类::创建因果模板(基础信息节点类* 父节点, 因果主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::因果模板匹配二次特征"	"因果类.cpp:1911"	"1"	"1"	"bool 因果类::因果模板匹配二次特征( const 因果模板节点类* 模板, const std::vector<二次特征节点类*>&, const std::vector<二次特征节点类*>& 结果候选) const noexcept"	"按函数名执行对应处理。"	"类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=因果;约束=noexcept"	"专用类/对应头文件：因果"	"待复核"
"因果类::枚举全部因果"	"因果类.cpp:1864"	"1"	"1"	"std::vector<因果节点类*> 因果类::枚举全部因果() const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::枚举因果模板"	"因果类.cpp:1876"	"1"	"1"	"std::vector<因果模板节点类*> 因果类::枚举因果模板() const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::查找匹配因果模板"	"因果类.cpp:1934"	"1"	"1"	"std::vector<因果模板节点类*> 因果类::查找匹配因果模板( 枚举_因果锚点类型 锚点类型, std::uint32_t 状态层级, const std::vector<二次特征节点类*>& 条件候选, const std::vector<二次特征节点类*>& 结果候选) const"	"按条件查找目标对象、方法或事实。"	"类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::查询动作相关因果"	"因果类.cpp:1194"	"1"	"1"	"std::vector<因果模板节点类*> 因果类::查询动作相关因果( const 方法节点类* 因方法, const std::string& 动作语义键) const"	"按方法模板或动作语义键查询抽象因果模板，不创建或修改因果节点。"	"类别=构造;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::查询叶子任务目标投影层级"	"因果类.cpp:1319"	"1"	"1"	"结构_叶子任务因果投影预判 因果类::查询叶子任务目标投影层级( const 结构_叶子任务因果投影输入& 输入) const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
"因果类::查询因果链"	"因果类.cpp:1211"	"1"	"1"	"void 因果类::查询因果链( 状态节点类* 目标结果状态, 特征节点类* 目标结果特征, std::uint32_t 最大深度输入, bool 包含未验证路径, std::size_t& 边数量, std::vector<因果模板节点类*>& 来源因果模板, std::vector<std::string>& 缺失证据) const"	"从目标结果状态或目标结果特征回溯现有状态转换因果边。"	"类别=转换;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=因果;约束=无显式约束"	"专用类/对应头文件：因果"	"待复核"
