结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
结构_因果搜索输入上下文_筹办	任务模块.筹办.ixx	5708	bool 有效 = false; | I64 证据方向 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_候选方法输入闭合结果	任务模块.筹办.ixx	5898	枚举_候选方法输入闭合状态 状态 = 枚举_候选方法输入闭合状态::已闭合; | const 语素入口节点类* 缺口特征类型 = nullptr; | I64 必需参数数量 = 0; | I64 已绑定参数数量 = 0; | I64 缺失参数数量 = 0; | return 状态 == 枚举_候选方法输入闭合状态::已闭合; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_通用参数绑定上下文	任务模块.筹办.ixx	5912	任务节点* 任务头 = nullptr; | 方法节点* 当前方法 = nullptr; | 方法节点* 输入目标方法覆盖 = nullptr; | 基础信息节点类* 目标宿主 = nullptr; | const 语素入口节点类* 目标特征类型 = nullptr; | const 状态节点类* 当前状态 = nullptr; | 场景节点类* 输入参数场景 = nullptr; | 特征节点类* 输入条件包 = nullptr; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理消息头	任务模块.工作线程消息协议.ixx	136	std::string 发出者主键{}; | std::string 任务管理任务主键{}; | std::string 任务主键{}; | std::string 父任务主键{}; | std::string 步骤主键{}; | std::string 关联场景主键{}; | 时间戳 产生时间 = 0; | std::uint64_t 回复目标消息主键 = 0; | ...(+7)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理线程补充特征	任务模块.工作线程消息协议.ixx	153	枚举_任务管理线程补充特征类型 特征类型 = 枚举_任务管理线程补充特征类型::未定义; | std::string 文本值{}; | I64 数值 = 0; | bool 布尔值 = false; | std::uintptr_t 指针值 = 0; | std::uintptr_t 特征类型抽象特征指针 = 0; | I64 特征类型值 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理控制请求	任务模块.工作线程消息协议.ixx	163	std::string 请求主键{}; | std::string 目标线程主键{}; | std::string 目标任务管理任务主键{}; | std::string 目标任务主键{}; | std::uint64_t 回复目标消息主键 = 0; | 枚举_任务管理控制意图值 控制意图值 = 枚举_任务管理控制意图值::未定义; | std::string 发起者主键{}; | std::string 发起者类型文本{}; | ...(+9)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理控制响应记录	任务模块.工作线程消息协议.ixx	182	std::string 请求主键{}; | std::string 执行尝试主键{}; | 枚举_任务管理控制意图值 控制意图值 = 枚举_任务管理控制意图值::未定义; | 枚举_任务管理控制响应状态 响应状态 = 枚举_任务管理控制响应状态::未定义; | bool 是否已下发 = false; | bool 是否已响应 = false; | bool 是否已执行完成 = false; | bool 是否超时 = false; | ...(+8)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理线程状态消息	任务模块.工作线程消息协议.ixx	200	结构_任务管理消息头 消息头{}; | 枚举_任务管理线程运行状态 当前运行状态 = 枚举_任务管理线程运行状态::未定义; | bool 是否执行尝试结束 = false; | 枚举_任务管理线程结束状态 结束状态 = 枚举_任务管理线程结束状态::未定义; | 时间戳 开始时间 = 0; | 时间戳 结束时间 = 0; | bool 是否携带控制请求 = false; | std::string 控制请求主键{}; | ...(+14)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理派生需求消息	任务模块.工作线程消息协议.ixx	224	结构_任务管理消息头 消息头{}; | std::string 当前方法主键{}; | std::uintptr_t 方法虚拟存在指针 = 0; | std::string 方法虚拟存在主键{}; | std::uintptr_t 来源因果指针 = 0; | std::string 来源因果主键{}; | std::uintptr_t 来源动态指针 = 0; | std::string 来源动态主键{}; | ...(+41)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务价值反馈段	任务模块.工作线程消息协议.ixx	276	std::string 反馈事件主键{}; | I64 本次安全满足量 = 0; | I64 本次服务满足量 = 0; | I64 安全累计比例_百万分比 = -1; | I64 服务累计比例_百万分比 = -1; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理结果状态消息	任务模块.工作线程消息协议.ixx	284	结构_任务管理消息头 消息头{}; | std::uintptr_t 方法虚拟存在指针 = 0; | std::string 方法虚拟存在主键{}; | 时间戳 执行开始时间 = 0; | 时间戳 执行结束时间 = 0; | 枚举_任务管理结果状态 结果状态 = 枚举_任务管理结果状态::未定义; | double 完成度 = 0.0; | 特征值 结果值{}; | ...(+15)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理观察事实承接请求	任务模块.工作线程消息协议.ixx	313	结构_任务管理消息头 消息头{}; | std::uint64_t 等待项ID = 0; | std::uint64_t 报告ID = 0; | std::string 来源需求ID{}; | std::uint64_t 目标观察约束ID = 0; | std::string 目标存在ID{}; | std::string 目标特征类型ID{}; | I64 目标特征当前值 = 0; | ...(+15)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理执行前许可请求消息	任务模块.工作线程消息协议.ixx	338	结构_任务管理消息头 消息头{}; | std::uint64_t 请求ID = 0; | std::uint64_t 工作项ID = 0; | std::uintptr_t 任务信息节点指针 = 0; | std::uintptr_t 来源需求指针 = 0; | std::uintptr_t 当前方法指针 = 0; | std::string 任务主键{}; | std::string 来源需求主键{}; | ...(+9)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务管理上行消息	任务模块.工作线程消息协议.ixx	367	枚举_任务管理上行消息类型 类型 = 枚举_任务管理上行消息类型::未定义; | 任务管理上行消息载荷 载荷{}; | std::uintptr_t 类型抽象特征指针 = 0; | I64 类型值 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程消息输入	任务模块.工作线程协议.ixx	45	bool 存在控制请求 = false; | 结构_任务管理控制请求 控制请求{}; | 时间戳 当前时间 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程控制消费	任务模块.工作线程协议.ixx	51	bool 已消费控制请求 = false; | 结构_任务管理控制请求 已消费控制请求对象{}; | 结构_任务管理控制响应记录 控制响应{}; | bool 控制阻断执行 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程状态回报	任务模块.工作线程协议.ixx	58	bool 已生成线程状态消息 = false; | 结构_任务管理线程状态消息 状态消息{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程结果上行	任务模块.工作线程协议.ixx	63	std::vector<结构_任务推进事件> 推进事件列表{}; | std::vector<结构_任务管理上行消息> 上行消息集{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程消息处理合同	任务模块.工作线程协议.ixx	68	结构_线程消息输入 消息输入{}; | 结构_线程控制消费 控制消费{}; | 结构_线程状态回报 状态回报{}; | 结构_线程结果上行 结果上行{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_工作线程一步结果	任务模块.管理工作线程.ixx	40	std::vector<结构_任务推进事件> 推进事件列表{}; | std::vector<结构_任务管理上行消息> 上行消息集{}; | bool 任务管理上位输入已刷新 = false; | bool 任务管理治理触发 = false; | bool 已执行当前步骤方法 = false; | bool 存在当前步骤方法执行数据 = false; | 结构_任务步骤执行结果_最小 当前步骤方法执行数据{}; | 特征节点类* 当前步骤方法运行结果 = nullptr; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_工作线程一步响应	任务模块.管理工作线程.ixx	54	bool 推进成功 = false; | 结构_任务控制态 最新任务控制态{}; | 结构_任务局部运行态 最新任务局部运行态{}; | 结构_工作线程一步结果 一步结果{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_工作线程实例快照	任务模块.管理工作线程.ixx	61	bool 已启动 = false; | bool 正在执行 = false; | bool 已收到请求 = false; | bool 停止请求 = false; | bool 故障 = false; | std::uint64_t 工作线程ID = 1; | std::uint64_t 最近任务根ID = 0; | std::uint64_t 最近请求ID = 0; | ...(+31)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_界面优先级结果	任务模块.管理工作线程.ixx	103	任务类::节点类* 当前最高优先级任务 = nullptr; | std::int64_t 调度优先级 = 0; | bool 是否硬中断任务 = false; | bool 是否可执行 = false; | bool 是否安全方向任务 = false; | bool 是否服务方向任务 = false; | std::int32_t 来源步骤序号 = 0; | bool 来源于前置步骤 = false; | ...(+1)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_外设消息承接结果	任务模块.管理工作线程.ixx	122	枚举_外设消息承接处理状态 处理状态 = 枚举_外设消息承接处理状态::未处理; | bool 已处理 = false; | bool 命中报告 = false; | bool 生成任务回执 = false; | bool 生成观察事实承接请求 = false; | bool 生成稳定特征承接请求 = false; | std::uint64_t 等待项ID = 0; | std::uint64_t 报告ID = 0; | ...(+6)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_工作线程壳状态	任务模块.管理工作线程.ixx	169	std::mutex 锁{}; | 任务管理工作线程::结构_工作线程实例快照 快照{}; | bool 工作线程壳已启动 = false; | std::vector<std::string> 最近筹办派生需求稳定键集{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务界面请求记录	任务模块.管理界面线程.impl.cpp	103	std::uint64_t 请求ID = 0; | std::string 幂等键{}; | 任务管理线程协议::枚举_任务界面请求状态::未定义; | 任务管理线程协议::枚举_任务界面调度动作::未定义; | 任务管理线程协议::结构_任务界面承接结果 最近承接{}; | 时间戳 首次接收时间 = 0; | 时间戳 最近更新时间 = 0; | bool 已完成 = false; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务调度队列项	任务模块.管理界面线程.impl.cpp	116	任务管理线程协议::结构_任务治理请求 请求{}; | 任务管理线程协议::结构_任务界面承接结果 承接{}; | 任务管理线程协议::结构_任务工作项 工作项{}; | 存在节点类* 任务虚拟存在 = nullptr; | 场景节点类* 请求场景 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务状态提交确认令牌	任务模块.管理界面线程.impl.cpp	124	std::uint64_t 确认ID = 0; | std::uint64_t 工作项ID = 0; | std::string 任务主键{}; | 枚举_任务状态 目标状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 目标阶段 = 枚举_任务阶段::未定义; | 时间戳 请求时间 = 0; | 时间戳 截止时间 = 0; | std::uint32_t 状态提交重试次数 = 0; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_状态提交待确认项	任务模块.管理界面线程.impl.cpp	135	任务管理线程协议::结构_任务治理请求 请求{}; | 任务管理线程协议::结构_任务界面承接结果 承接{}; | 任务管理线程协议::结构_任务工作项 工作项{}; | 存在节点类* 任务虚拟存在 = nullptr; | 场景节点类* 请求场景 = nullptr; | 任务管理线程协议::枚举_任务调度事件类型::未定义; | std::string 入队原因{}; | 结构_任务状态提交确认令牌 确认令牌{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务完成队列项	任务模块.管理界面线程.impl.cpp	147	结构_任务调度队列项 调度项{}; | 任务管理线程协议::结构_任务工作完成项 完成项{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_在途工作项记录	任务模块.管理界面线程.impl.cpp	152	任务管理线程协议::结构_任务工作项 工作项{}; | 时间戳 派发时间 = 0; | std::string 任务主键{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_后台worker当前工作快照	任务模块.管理界面线程.impl.cpp	158	std::uint64_t worker序号 = 0; | std::uint64_t 工作项ID = 0; | std::string 任务主键{}; | std::string 工作项类型{}; | std::string 状态{}; | std::string 原因{}; | 时间戳 更新时间 = 0; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_调度任务状态快照	任务模块.管理界面线程.impl.cpp	168	std::string 任务主键{}; | 枚举_任务状态 任务状态 = 枚举_任务状态::未定义; | std::uint64_t 状态版本 = 0; | std::uint64_t 最近工作项ID = 0; | 任务管理线程协议::枚举_任务工作项类型::未定义; | bool 存在在途工作项 = false; | 时间戳 更新时间 = 0; | std::string 最近原因{}; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_等待挂起任务索引记录	任务模块.管理界面线程.impl.cpp	180	std::string 任务主键{}; | 枚举_任务状态 任务状态 = 枚举_任务状态::未定义; | std::uint64_t 状态版本 = 0; | std::uint64_t 最近工作项ID = 0; | 时间戳 更新时间 = 0; | std::string 原因{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_执行前许可等待记录	任务模块.管理界面线程.impl.cpp	196	std::uint64_t 请求ID = 0; | std::uint64_t 工作项ID = 0; | 时间戳 请求时间 = 0; | std::string 任务主键{}; | std::string 来源需求主键{}; | std::string 当前方法主键{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务界面线程状态	任务模块.管理界面线程.impl.cpp	205	std::mutex 锁{}; | std::condition_variable 工作项条件变量{}; | bool 已启动 = false; | bool 正在处理 = false; | bool 故障 = false; | bool 界面循环已启动 = false; | bool 界面循环停止请求 = false; | std::thread 界面循环线程{}; | ...(+39)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_工作项排序键	任务模块.管理界面线程.impl.cpp	393	bool 已到最早派发时间 = false; | I64 调度优先级 = 0; | int 阶段排序值 = 0; | std::uint32_t 重试次数 = 0; | 时间戳 最早派发时间 = 0; | 时间戳 入队时间 = 0; | std::string 任务排序键{}; | std::uint64_t 工作项ID = 0; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务推进裁决	任务模块.管理界面线程.impl.cpp	2306	任务管理线程协议::枚举_任务工作项类型::未定义; | 任务管理线程协议::枚举_任务调度事件类型::普通推进; | const char* 原因 = "默认状态推进"; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_同目标任务签名_任务管理	任务模块.管理界面线程.impl.cpp	3948	std::string 目标宿主主键{}; | std::string 目标特征类型主键{}; | std::string 场景主键{}; | 三向关系掩码 满足关系 = 关系_等于; | 状态节点类* 目标状态 = nullptr; | && 目标状态 != nullptr; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_同目标任务复用结果_任务管理	任务模块.管理界面线程.impl.cpp	4087	任务节点* 任务 = nullptr; | 需求节点* 任务来源需求 = nullptr; | 任务节点* 待升级任务 = nullptr; | 需求节点* 待升级来源需求 = nullptr; | 枚举_任务状态 待升级任务状态 = 枚举_任务状态::未定义; | std::string 说明{}; | std::string 升级说明{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务调度消费统计	任务模块.管理界面线程.impl.cpp	5683	std::uint64_t 派发工作项数 = 0; | std::uint64_t 收到工作结果数 = 0; | std::vector<结构_任务推进事件> 推进事件列表{}; | std::vector<结构_任务管理上行消息> 上行消息集{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务治理请求	任务模块.管理线程协议.ixx	96	枚举_任务管理请求类型 请求类型 = 枚举_任务管理请求类型::调度任务; | std::uint64_t 请求ID = 0; | std::string 幂等键{}; | 任务节点类* 任务信息节点 = nullptr; | 任务节点类* 上级任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 存在节点类* 发起存在 = nullptr; | 存在节点类* 作用对象 = nullptr; | ...(+15)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务状态推进请求	任务模块.管理线程协议.ixx	131	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 枚举_任务状态 建议任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 建议任务阶段 = 枚举_任务阶段::未定义; | bool 写入任务状态 = true; | bool 写入任务阶段 = false; | bool 等待缺口唤醒 = false; | 时间戳 当前时间 = 0; | ...(+1)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务状态推进结果	任务模块.管理线程协议.ixx	144	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 枚举_任务状态 原任务状态 = 枚举_任务状态::未定义; | 枚举_任务状态 新任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 原任务阶段 = 枚举_任务阶段::未定义; | 枚举_任务阶段 新任务阶段 = 枚举_任务阶段::未定义; | bool 已提交任务状态 = false; | bool 已提交任务阶段 = false; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_观察事实更新任务唤醒通知	任务模块.管理线程协议.ixx	158	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | std::uint64_t 报告ID = 0; | std::uint64_t 等待项ID = 0; | bool 安全根路径 = false; | 时间戳 当前时间 = 0; | std::string 事件摘要{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_父任务等待条件变化通知	任务模块.管理线程协议.ixx	168	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 父需求 = nullptr; | 需求节点类* 子需求 = nullptr; | 任务节点类* 子任务信息节点 = nullptr; | 动态节点类* 子任务状态动作动态 = nullptr; | bool 父需求仍需推进 = false; | bool 子需求已满足 = false; | 时间戳 当前时间 = 0; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务价值结算完成通知	任务模块.管理线程协议.ixx	180	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 时间戳 当前时间 = 0; | std::string 事件摘要{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务执行前许可请求	任务模块.管理线程协议.ixx	187	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 方法类::节点类* 当前方法 = nullptr; | std::uint64_t 请求ID = 0; | std::uint64_t 工作项ID = 0; | 时间戳 当前时间 = 0; | I64 预计安全变化量 = 0; | I64 预计服务变化量 = 0; | ...(+6)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务执行前许可结果	任务模块.管理线程协议.ixx	204	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | 方法类::节点类* 当前方法 = nullptr; | std::uint64_t 工作项ID = 0; | bool 已审批 = false; | bool 允许执行 = false; | bool 需要等待 = false; | bool 需要收束 = false; | ...(+6)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务权重固化请求	任务模块.管理线程协议.ixx	221	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | I64 承接安全权重上限 = 0; | I64 承接服务权重上限 = 0; | I64 任务权重评分 = 0; | I64 任务权重版本号 = 0; | 时间戳 当前时间 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务价值结算回执	任务模块.管理线程协议.ixx	231	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 来源需求 = nullptr; | bool 写入已折算安全值 = false; | bool 写入已折算服务值 = false; | I64 已折算安全值 = 0; | I64 已折算服务值 = 0; | 时间戳 当前时间 = 0; | std::string 反馈事件主键{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_派生需求入树回执	任务模块.管理线程协议.ixx	242	任务节点类* 任务信息节点 = nullptr; | 需求节点类* 父需求 = nullptr; | 需求节点类* 派生需求 = nullptr; | 枚举_派生需求入树处理结果::未定义; | bool 是否阻塞父任务推进 = false; | 时间戳 当前时间 = 0; | std::string 原派生消息幂等键{}; | std::string 原派生消息摘要{}; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务调度运行参数	任务模块.管理线程协议.ixx	256	任务管理工作线程池默认大小_常量; | 任务管理工作线程池默认大小_常量; | std::uint64_t 任务管理工作线程池参数版本 = 1; | std::string 最近参数保存结果 = "尚未保存"; | std::string 最近参数错误{}; | std::string 最近参数应用结果 = "尚未应用"; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务工作项	任务模块.管理线程协议.ixx	267	std::uint64_t 请求ID = 0; | std::uint64_t 工作项ID = 0; | std::string 幂等键{}; | std::uint64_t 状态版本 = 0; | std::uint64_t 来源调度事件ID = 0; | 枚举_任务调度事件类型::未定义; | 时间戳 创建时间 = 0; | 时间戳 入队时间 = 0; | ...(+17)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务筹办情况	任务模块.管理线程协议.ixx	302	bool 有效 = false; | bool 已执行筹办 = false; | 任务模块::筹办::结构_任务推进回执 筹办回执{}; | 特征节点类* 方法运行结果 = nullptr; | 场景节点类* 结果场景 = nullptr; | 枚举_任务状态 建议任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 建议任务阶段 = 枚举_任务阶段::未定义; | std::string 诊断摘要{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务执行情况	任务模块.管理线程协议.ixx	314	bool 有效 = false; | bool 已执行方法 = false; | 任务模块::筹办::结构_任务推进回执 执行回执{}; | 结构_任务步骤执行结果_最小 执行数据{}; | 特征节点类* 方法运行结果 = nullptr; | 场景节点类* 输出结果场景 = nullptr; | 枚举_任务状态 建议任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 建议任务阶段 = 枚举_任务阶段::未定义; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务工作结果	任务模块.管理线程协议.ixx	327	std::uint64_t 请求ID = 0; | std::uint64_t 工作项ID = 0; | std::string 幂等键{}; | 任务节点类* 任务信息节点 = nullptr; | 存在节点类* 任务虚拟存在 = nullptr; | 需求节点类* 来源需求 = nullptr; | bool 已处理 = false; | bool 推进成功 = false; | ...(+43)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务工作完成项	任务模块.管理线程协议.ixx	399	结构_任务工作项 工作项{}; | 结构_任务工作结果 工作结果{}; | bool 已派发 = false; | 时间戳 派发时间 = 0; | 时间戳 完成时间 = 0; | std::string 完成摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务界面承接结果	任务模块.管理线程协议.ixx	409	std::uint64_t 请求ID = 0; | std::string 幂等键{}; | bool 已接收 = false; | bool 已校验 = false; | bool 已绑定任务虚拟存在 = false; | bool 已初始化任务语义 = false; | bool 已构造工作项 = false; | bool 已派发工作线程 = false; | ...(+18)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务界面线程快照	任务模块.管理线程协议.ixx	447	bool 已启动 = false; | bool 正在处理 = false; | bool 故障 = false; | std::uint64_t 累计接收请求数 = 0; | std::uint64_t 累计绑定任务虚拟存在数 = 0; | std::uint64_t 累计派发工作项数 = 0; | std::uint64_t 累计收到工作结果数 = 0; | std::uint64_t 累计上行消息数 = 0; | ...(+75)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程运行包头	任务模块.运行包.ixx	68	主键 包主键 = 0; | 主键 线程主键 = 0; | 主键 轮次主键 = 0; | 主键 宿主存在主键 = 0; | 主键 父包主键 = 0; | 时间戳 创建时间 = 0; | 时间戳 封口时间 = 0; | std::uint64_t 追踪签名 = 0; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_差额值	任务模块.运行包.ixx	82	I64 目标值 = 0; | I64 当前值 = 0; | I64 差额 = 0; | I64 趋势 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_根需求项	任务模块.运行包.ixx	89	主键 需求节点主键 = 0; | 枚举_需求大类 大类 = 枚举_需求大类::服务; | 枚举_服务子类 服务子类 = 枚举_服务子类::无; | 枚举_安全子类 安全子类 = 枚举_安全子类::无; | const 语素入口节点类* 需求大类抽象特征指针 = nullptr; | I64 需求大类值 = static_cast<I64>(枚举_需求大类::服务); | const 语素入口节点类* 服务子类抽象特征指针 = nullptr; | I64 服务子类值 = static_cast<I64>(枚举_服务子类::无); | ...(+6)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_授权约束段	任务模块.运行包.ixx	105	I64 授权等级 = 0; | I64 资源配额 = 0; | I64 时间窗_ms = 0; | I64 并发上限 = 1; | bool 允许真实写回 = false; | bool 允许回滚 = false; | bool 必须人工确认 = false; | std::vector<枚举_动作类型> 动作白名单{}; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法候选项	任务模块.运行包.ixx	119	主键 方法主键 = 0; | I64 置信度 = 0; | std::string 命中原因{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_状态变化项	任务模块.运行包.ixx	125	主键 主体主键 = 0; | 主键 特征主键 = 0; | I64 变化前 = 0; | I64 变化后 = 0; | std::string 变化原因{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法沉淀候选项	任务模块.运行包.ixx	133	主键 锚点主键 = 0; | 主键 来源任务主键 = 0; | 主键 来源方法主键 = 0; | std::string 动作语义键{}; | I64 置信度 = 0; | 枚举_方法沉淀样本类别 样本类别 = 枚举_方法沉淀样本类别::待验证; | const 语素入口节点类* 方法沉淀样本类别抽象特征指针 = nullptr; | I64 方法沉淀样本类别值 = static_cast<I64>(枚举_方法沉淀样本类别::待验证); | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_一步治理任务包	任务模块.运行包.ixx	145	结构_线程运行包头 包头{}; | 主键 来源需求主键 = 0; | 主键 来源任务主键 = 0; | 枚举_需求大类 来源需求大类 = 枚举_需求大类::服务; | const 语素入口节点类* 来源需求大类抽象特征指针 = nullptr; | I64 来源需求大类值 = static_cast<I64>(枚举_需求大类::服务); | std::string 本轮要缩小的差额说明{}; | 枚举_动作类型 动作类型 = 枚举_动作类型::解释; | ...(+25)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_回流结算包	任务模块.运行包.ixx	180	结构_线程运行包头 包头{}; | 主键 任务包主键 = 0; | 主键 选定方法主键 = 0; | 主键 输入场景主键 = 0; | 主键 输出场景主键 = 0; | bool 执行成功 = false; | bool 被中断 = false; | bool 已超时 = false; | ...(+26)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法上下文	任务模块.执行.ixx	37	时间戳 now = 0; | 场景节点类* 输入观测包场景 = nullptr; | 场景节点类* 任务条件场景 = nullptr; | 场景节点类* 调用覆盖场景 = nullptr; | 方法类::节点类* 方法首节点 = nullptr; | const 场景节点类* 当前场景 = nullptr; | const 场景节点类* 条件场景 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务步骤执行结果_最小	任务模块.执行.ixx	47	bool 有效 = false; | 枚举_任务执行记账结果 记账结果 = 枚举_任务执行记账结果::未定义; | 枚举_任务状态 建议任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 建议任务阶段 = 枚举_任务阶段::未定义; | std::uintptr_t 记账结果抽象特征指针 = 0; | I64 记账结果值 = 0; | 任务类::节点类* 主任务 = nullptr; | 任务类::节点类* 当前步骤节点 = nullptr; | ...(+8)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_执行任务结果	任务模块.执行.ixx	65	bool 有效 = false; | 结构_任务步骤执行结果_最小 任务执行结果{}; | 特征节点类* 方法运行结果 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
