函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
世界树类::确保存在概念	世界树类.cpp:2462	存在节点类* 世界树类::确保存在概念( const 语素入口节点类* 名称, 存在节点类* 父概念)	 const 语素入口节点类* 名称, 存在节点类* 父概念	存在节点类*	主信息,节点类,节点,基础信息,语素入口,存在节点,语素,存在,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点类,节点,基础信息,语素入口,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_事件	世界树类.cpp:1900	存在节点类* 世界树类::确保核心概念_事件()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_任务	世界树类.cpp:1882	存在节点类* 世界树类::确保核心概念_任务()		存在节点类*	节点类,节点,存在节点,枚举_,语素,存在,任务,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_方法	世界树类.cpp:1888	存在节点类* 世界树类::确保核心概念_方法()		存在节点类*	节点类,节点,存在节点,枚举_,语素,存在,方法,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_状态	世界树类.cpp:1894	存在节点类* 世界树类::确保核心概念_状态()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_自我	世界树类.cpp:1870	存在节点类* 世界树类::确保核心概念_自我()		存在节点类*	节点类,节点,存在节点,存在,世界树,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_规则	世界树类.cpp:1906	存在节点类* 世界树类::确保核心概念_规则()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保核心概念_需求	世界树类.cpp:1876	存在节点类* 世界树类::确保核心概念_需求()		存在节点类*	节点类,节点,存在节点,枚举_,语素,存在,需求,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保根概念_信息存在	世界树类.cpp:1858	存在节点类* 世界树类::确保根概念_信息存在()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保根概念_存在	世界树类.cpp:1840	存在节点类* 世界树类::确保根概念_存在()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保根概念_实物存在	世界树类.cpp:1846	存在节点类* 世界树类::确保根概念_实物存在()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保根概念_数字生命	世界树类.cpp:1864	存在节点类* 世界树类::确保根概念_数字生命()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保根概念_虚拟存在	世界树类.cpp:1852	存在节点类* 世界树类::确保根概念_虚拟存在()		存在节点类*	节点类,节点,存在节点,存在,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保特征	世界树类.cpp:2244	特征节点类* 世界树类::确保特征(基础信息节点类* 宿主, const 语素入口节点类* 特征类型)	基础信息节点类* 宿主, const 语素入口节点类* 特征类型	特征节点类*	节点类,节点,基础信息,语素入口,特征节点,语素,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,语素入口,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::确保被动触发初始因果模板	世界树类.cpp:3335	因果模板节点类* 世界树类::确保被动触发初始因果模板( 基础信息节点类* 父节点, 场景节点类* 适用场景, 二次特征节点类* 条件比较, 二次特征节点类* 主果比较, 动态节点类* 证据动态, std::uint32_t 适用层级, const std::string& 动作语义键, bool& 已创建)	 基础信息节点类* 父节点, 场景节点类* 适用场景, 二次特征节点类* 条件比较, 二次特征节点类* 主果比较, 动态节点类* 证据动态, std::uint32_t 适用层级, const std::string& 动作语义键, bool& 已创建	因果模板节点类*	节点类,节点,基础信息,场景节点,特征节点,场景,特征,因果,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,场景节点,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定二次特征场景	世界树类.cpp:2680	bool 世界树类::绑定二次特征场景(二次特征节点类* 节点, 场景节点类* 所属场景)	二次特征节点类* 节点, 场景节点类* 所属场景	bool	节点类,节点,场景节点,特征节点,场景,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定二次特征来源	世界树类.cpp:2698	bool 世界树类::绑定二次特征来源( 二次特征节点类* 节点, 状态节点类* 来源起始状态, 状态节点类* 来源结果状态, 动态节点类* 来源动态, 场景节点类* 来源场景, std::uint32_t 来源动态层级, std::uint64_t 来源动态路径签名, 枚举_二次特征来源类型 来源类型, 结构_时间段 来源时间段, 时间戳 分步时长, 时间戳 总时长, 时间戳 窗口时长)	 二次特征节点类* 节点, 状态节点类* 来源起始状态, 状态节点类* 来源结果状态, 动态节点类* 来源动态, 场景节点类* 来源场景, std::uint32_t 来源动态层级, std::uint64_t 来源动态路径签名, 枚举_二次特征来源类型 来源类型, 结构_时间段 来源时间段, 时间戳 分步时长, 时间戳 总时长, 时间戳 窗口时长	bool	节点类,节点,场景节点,特征节点,结构_,枚举_,场景,特征,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点,特征节点,结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定场景宿主	世界树类.cpp:2598	bool 世界树类::绑定场景宿主(场景节点类* 节点, 存在节点类* 宿主存在)	场景节点类* 节点, 存在节点类* 宿主存在	bool	节点类,节点,存在节点,场景节点,存在,场景,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定来源场景	世界树类.cpp:3177	bool 世界树类::绑定来源场景(动态节点类* 节点, 场景节点类* 输入场景, 场景节点类* 输出场景)	动态节点类* 节点, 场景节点类* 输入场景, 场景节点类* 输出场景	bool	节点类,节点,场景节点,场景,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定来源方法	世界树类.cpp:3168	bool 世界树类::绑定来源方法( 动态节点类* 节点, 方法节点类* 来源动作, const 语素入口节点类* 来源动作名)	 动态节点类* 节点, 方法节点类* 来源动作, const 语素入口节点类* 来源动作名	bool	节点类,节点,语素入口,方法节点,语素,方法,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,方法节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定核心概念语素	世界树类.cpp:2045	bool 世界树类::绑定核心概念语素()		bool	节点类,节点,基础信息,存在节点,枚举_,语素,存在,需求,任务,方法,世界树,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,存在节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::绑定状态主体特征	世界树类.cpp:3003	bool 世界树类::绑定状态主体特征(状态节点类* 节点, 基础信息节点类* 主体, 特征节点类* 特征)	状态节点类* 节点, 基础信息节点类* 主体, 特征节点类* 特征	bool	节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::统计全部节点	世界树类.cpp:1718	std::size_t 世界树类::统计全部节点() const		std::size_t	节点,基础信息,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点,基础信息；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取任务根节点	世界树类.cpp:2408	任务类::节点类* 世界树类::获取任务根节点(存在节点类* 节点) const noexcept	存在节点类* 节点	任务类::节点类*	节点类,节点,存在节点,存在,任务,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取任务根节点	世界树类.cpp:2414	const 任务类::节点类* 世界树类::获取任务根节点(const 存在节点类* 节点) const noexcept	const 存在节点类* 节点	const 任务类::节点类*	节点类,节点,存在节点,存在,任务,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取动态二次特征	世界树类.cpp:2901	std::vector<二次特征节点类*> 世界树类::获取动态二次特征(const 动态节点类& 动态)	const 动态节点类& 动态	std::vector<二次特征节点类*>	节点类,节点,特征节点,特征,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取名称	世界树类.cpp:1737	std::string 世界树类::获取名称(const 基础信息节点类* 节点) const	const 基础信息节点类* 节点	std::string	节点类,节点,基础信息,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取场景动态	世界树类.cpp:3147	std::vector<动态节点类*> 世界树类::获取场景动态(const 场景节点类* 场景) const	const 场景节点类* 场景	std::vector<动态节点类*>	节点类,节点,场景节点,场景,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取场景状态	世界树类.cpp:2979	std::vector<状态节点类*> 世界树类::获取场景状态(const 场景节点类* 场景) const	const 场景节点类* 场景	std::vector<状态节点类*>	节点类,节点,场景节点,场景,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取子二次特征	世界树类.cpp:2654	std::vector<二次特征节点类*> 世界树类::获取子二次特征(const 基础信息节点类* 父节点) const	const 基础信息节点类* 父节点	std::vector<二次特征节点类*>	节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取子存在	世界树类.cpp:2554	std::vector<存在节点类*> 世界树类::获取子存在(const 基础信息节点类* 父节点) const	const 基础信息节点类* 父节点	std::vector<存在节点类*>	节点类,节点,基础信息,存在节点,存在,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取子特征	世界树类.cpp:2256	std::vector<特征节点类*> 世界树类::获取子特征(const 基础信息节点类* 宿主) const	const 基础信息节点类* 宿主	std::vector<特征节点类*>	节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取子节点	世界树类.cpp:1712	std::vector<基础信息节点类*> 世界树类::获取子节点(const 基础信息节点类* 父节点) const	const 基础信息节点类* 父节点	std::vector<基础信息节点类*>	节点类,节点,基础信息,世界树	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取或创建子二次特征_按签名	世界树类.cpp:2660	二次特征节点类* 世界树类::获取或创建子二次特征_按签名( 基础信息节点类* 父节点, const 二次特征主信息类& 模板)	 基础信息节点类* 父节点, const 二次特征主信息类& 模板	二次特征节点类*	主信息,节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取方法根节点	世界树类.cpp:2420	方法类::节点类* 世界树类::获取方法根节点(存在节点类* 节点) const noexcept	存在节点类* 节点	方法类::节点类*	节点类,节点,存在节点,存在,方法,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取方法根节点	世界树类.cpp:2426	const 方法类::节点类* 世界树类::获取方法根节点(const 存在节点类* 节点) const noexcept	const 存在节点类* 节点	const 方法类::节点类*	节点类,节点,存在节点,存在,方法,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取概念集	世界树类.cpp:2337	std::vector<存在节点类*> 世界树类::获取概念集(const 存在节点类* 节点) const	const 存在节点类* 节点	std::vector<存在节点类*>	节点类,节点,存在节点,存在,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取比较方法结果	世界树类.cpp:2290	特征比较方法结果 世界树类::获取比较方法结果( const 语素入口节点类* 特征类型, const 特征值& 左值, const 特征值& 右值, const 特征节点主信息类* 左特征主信息, const 特征节点主信息类* 右特征主信息) const	 const 语素入口节点类* 特征类型, const 特征值& 左值, const 特征值& 右值, const 特征节点主信息类* 左特征主信息, const 特征节点主信息类* 右特征主信息	特征比较方法结果	主信息,节点类,节点,语素入口,特征节点,语素,特征,特征值,方法,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点类,节点,语素入口,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取父节点	世界树类.cpp:1706	基础信息节点类* 世界树类::获取父节点(const 基础信息节点类* 节点) const noexcept	const 基础信息节点类* 节点	基础信息节点类*	节点类,节点,基础信息,世界树,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取需求根节点	世界树类.cpp:2396	需求类::节点类* 世界树类::获取需求根节点(存在节点类* 节点) const noexcept	存在节点类* 节点	需求类::节点类*	节点类,节点,存在节点,存在,需求,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::获取需求根节点	世界树类.cpp:2402	const 需求类::节点类* 世界树类::获取需求根节点(const 存在节点类* 节点) const noexcept	const 存在节点类* 节点	const 需求类::节点类*	节点类,节点,存在节点,存在,需求,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::解析因果节点	世界树类.cpp:3225	因果节点类* 世界树类::解析因果节点(基础信息节点类* 节点) const noexcept	基础信息节点类* 节点	因果节点类*	节点类,节点,基础信息,因果,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::解析因果节点	世界树类.cpp:3231	const 因果节点类* 世界树类::解析因果节点(const 基础信息节点类* 节点) const noexcept	const 基础信息节点类* 节点	const 因果节点类*	节点类,节点,基础信息,因果,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::解析实例特征命中抽象特征	世界树类.cpp:2202	抽象特征节点类* 世界树类::解析实例特征命中抽象特征(特征节点类* 实例特征)	特征节点类* 实例特征	抽象特征节点类*	节点类,节点,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::计算动态列表路径签名	世界树类.cpp:3133	std::uint64_t 世界树类::计算动态列表路径签名(const std::vector<动态节点类*>& 动态列表) const noexcept	const std::vector<动态节点类*>& 动态列表	std::uint64_t	节点类,节点,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::计算场景绝对坐标_由参考存在相对坐标	世界树类.cpp:3747	bool 世界树类::计算场景绝对坐标_由参考存在相对坐标( const 存在节点类* 参考存在, const Vector3D& 相对坐标_mm, Vector3D& 输出绝对坐标_mm) const	 const 存在节点类* 参考存在, const Vector3D& 相对坐标_mm, Vector3D& 输出绝对坐标_mm	bool	节点类,节点,存在节点,存在,场景,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::计算场景绝对坐标_由相对坐标表	世界树类.cpp:3782	结构_存在空间绝对坐标换算结果 世界树类::计算场景绝对坐标_由相对坐标表( const std::vector<结构_存在空间相对坐标项>& 相对坐标表) const	 const std::vector<结构_存在空间相对坐标项>& 相对坐标表	结构_存在空间绝对坐标换算结果	结构_,存在,场景,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::设置主体特征	世界树类.cpp:3162	bool 世界树类::设置主体特征(动态节点类* 节点, 基础信息节点类* 主体, 特征节点类* 特征)	动态节点类* 节点, 基础信息节点类* 主体, 特征节点类* 特征	bool	节点类,节点,基础信息,特征节点,特征,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::设置二次特征主体客体	世界树类.cpp:2728	bool 世界树类::设置二次特征主体客体(二次特征节点类* 节点, 基础信息节点类* 主体, 基础信息节点类* 客体)	二次特征节点类* 节点, 基础信息节点类* 主体, 基础信息节点类* 客体	bool	节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::设置二次特征左右对象	世界树类.cpp:2734	bool 世界树类::设置二次特征左右对象(二次特征节点类* 节点, 基础信息节点类* 左对象, 基础信息节点类* 右对象)	二次特征节点类* 节点, 基础信息节点类* 左对象, 基础信息节点类* 右对象	bool	节点类,节点,基础信息,特征节点,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::设置二次特征生成语义	世界树类.cpp:2686	bool 世界树类::设置二次特征生成语义( 二次特征节点类* 节点, 枚举_二次特征域 域, 枚举_二次特征粒度 粒度, 枚举_二次特征基准类型 基准类型, 枚举_时间归一方式 时间归一方式, 枚举_二次特征值形态 值形态)	 二次特征节点类* 节点, 枚举_二次特征域 域, 枚举_二次特征粒度 粒度, 枚举_二次特征基准类型 基准类型, 枚举_时间归一方式 时间归一方式, 枚举_二次特征值形态 值形态	bool	节点类,节点,特征节点,枚举_,特征,特征值,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,特征节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取动态来源低层动态	世界树类.cpp:3125	bool 世界树类::读取动态来源低层动态( const 动态节点类* 动态, std::vector<动态节点类*>& 输出来源低层动态) const	 const 动态节点类* 动态, std::vector<动态节点类*>& 输出来源低层动态	bool	节点类,节点,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取动态聚合信息	世界树类.cpp:3109	bool 世界树类::读取动态聚合信息( const 动态节点类* 动态, std::uint32_t& 动态层级, 枚举_动态聚合方式& 聚合方式, std::uint64_t& 动态路径签名) const noexcept	 const 动态节点类* 动态, std::uint32_t& 动态层级, 枚举_动态聚合方式& 聚合方式, std::uint64_t& 动态路径签名	bool	节点类,节点,枚举_,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取因果证据状态	世界树类.cpp:3282	void 世界树类::读取因果证据状态( const 因果节点类* 因果, bool& 是初始模板, bool& 已验证, std::uint64_t& 证据动态样本数, I64& 稳定度, bool& 证据足够) const noexcept	 const 因果节点类* 因果, bool& 是初始模板, bool& 已验证, std::uint64_t& 证据动态样本数, I64& 稳定度, bool& 证据足够	void	节点类,节点,因果,动态,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取场景二次特征布尔	世界树类.cpp:2846	std::optional<bool> 世界树类::读取场景二次特征布尔( 场景节点类* 场景, const 基础信息节点类* 特征节点, 方向掩码 方向约束, const 基础信息节点类* 主体, const std::optional<枚举_二次特征域>& 域) const noexcept	 场景节点类* 场景, const 基础信息节点类* 特征节点, 方向掩码 方向约束, const 基础信息节点类* 主体, const std::optional<枚举_二次特征域>& 域	std::optional<bool>	节点类,节点,基础信息,场景节点,特征节点,枚举_,场景,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,场景节点,特征节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取场景二次特征索引快照	世界树类.cpp:2616	std::vector<可解析引用<二次特征节点类>> 世界树类::读取场景二次特征索引快照(const 场景节点类* 场景) const	const 场景节点类* 场景	std::vector<可解析引用<二次特征节点类>>	节点类,节点,场景节点,特征节点,场景,特征,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,场景节点,特征节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
世界树类::读取场景宿主存在	世界树类.cpp:2604	存在节点类* 世界树类::读取场景宿主存在(const 场景节点类* 场景) const noexcept	const 场景节点类* 场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,世界树,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
