live	函数名	未限定名	定义位置	call_like_count	功能	签名风险标记	命中位置
yes	消费并读取控制面板线程信息表	消费并读取控制面板线程信息表	线程生命周期消息模块.ixx:1086	2	从指定来源读取数据或状态。		控制面板类.cpp:6303;线程生命周期消息模块.ixx:1086
yes	私有_反转义字段值	私有_反转义字段值	线程生命周期消息模块.ixx:169	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:169;线程生命周期消息模块.ixx:271
yes	私有_解析事件类型	私有_解析事件类型	线程生命周期消息模块.ixx:237	2	解析输入文本、消息、场景或运行包。		线程生命周期消息模块.ixx:237;线程生命周期消息模块.ixx:283
yes	私有_事件文件代码	私有_事件文件代码	线程生命周期消息模块.ixx:322	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:322;线程生命周期消息模块.ixx:1020
yes	私有_从缓存字段构造线程信息项	私有_从缓存字段构造线程信息项	线程生命周期消息模块.ixx:328	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:328;线程生命周期消息模块.ixx:389
yes	私有_写线程信息表缓存_已持锁	私有_写线程信息表缓存_已持锁	线程生命周期消息模块.ixx:413	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:413;线程生命周期消息模块.ixx:1136
yes	私有_应用线程生命周期消息_已持锁	私有_应用线程生命周期消息_已持锁	线程生命周期消息模块.ixx:497	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:497;线程生命周期消息模块.ixx:1133
yes	私有_移动到已消费	私有_移动到已消费	线程生命周期消息模块.ixx:599	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:599;线程生命周期消息模块.ixx:1140
yes	私有_归档日期文本	私有_归档日期文本	线程生命周期消息模块.ixx:658	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:658;线程生命周期消息模块.ixx:700
yes	私有_消息值得归档	私有_消息值得归档	线程生命周期消息模块.ixx:680	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:680;线程生命周期消息模块.ixx:815
yes	私有_归档已消费消息文件	私有_归档已消费消息文件	线程生命周期消息模块.ixx:693	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:693;线程生命周期消息模块.ixx:816
yes	私有_维护消息中间件根目录	私有_维护消息中间件根目录	线程生命周期消息模块.ixx:735	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:735;线程生命周期消息模块.ixx:868
yes	私有_维护消息中间件已消费目录	私有_维护消息中间件已消费目录	线程生命周期消息模块.ixx:774	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:774;线程生命周期消息模块.ixx:872
yes	私有_维护消息中间件归档目录	私有_维护消息中间件归档目录	线程生命周期消息模块.ixx:834	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:834;线程生命周期消息模块.ixx:879
yes	私有_维护消息中间件文件	私有_维护消息中间件文件	线程生命周期消息模块.ixx:857	2	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:857;线程生命周期消息模块.ixx:1142
yes	线程生命周期当前时间_微秒	线程生命周期当前时间_微秒	线程生命周期消息模块.ixx:937	2	按函数名执行对应处理。		线程生命周期消息模块.ixx:937;线程生命周期消息模块.ixx:962
yes	当前系统线程ID_控制面板线程消息	当前系统线程ID_控制面板线程消息	线程生命周期消息模块.ixx:943	2	按函数名执行对应处理。		线程生命周期消息模块.ixx:943;线程生命周期消息模块.ixx:969
yes	注册任务状态被动提交函数	注册任务状态被动提交函数	自我动作实现.内部模块.ixx:130	2	提交事实、动态、任务状态或运行回执。		自我动作实现.内部模块.ixx:130;自我动作实现模块.ixx:5745
yes	注册内部本能函数执行闭环	注册内部本能函数执行闭环	自我动作实现.内部模块.ixx:144	2	注册方法、模板、对象或运行入口。		自我动作实现.内部模块.ixx:144;自我动作实现模块.ixx:5744
yes	空间候选最大范围跨度	空间候选最大范围跨度	自我动作实现.外设模块.ixx:10021	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10021;自我动作实现.外设模块.ixx:10087
yes	空间候选存在待合并邻居	空间候选存在待合并邻居	自我动作实现.外设模块.ixx:10050	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10050;自我动作实现.外设模块.ixx:10079
yes	计算空间候选中心接近评分	计算空间候选中心接近评分	自我动作实现.外设模块.ixx:10135	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10135;自我动作实现.外设模块.ixx:10213
yes	空间候选独立状态惩罚	空间候选独立状态惩罚	自我动作实现.外设模块.ixx:10154	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10154;自我动作实现.外设模块.ixx:10223
yes	特征_当前方法执行情况	特征_当前方法执行情况	自我动作实现.外设模块.ixx:1018	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1018;自我动作实现模块.ixx:535
yes	查找空间候选摘要	查找空间候选摘要	自我动作实现.外设模块.ixx:10250	2	按条件查找目标对象、方法或事实。		自我动作实现.外设模块.ixx:10250;自我动作实现.外设模块.ixx:10365
yes	计算轮廓支持评分	计算轮廓支持评分	自我动作实现.外设模块.ixx:10272	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10272;自我动作实现.外设模块.ixx:10391
yes	合并相邻待合并空间候选	合并相邻待合并空间候选	自我动作实现.外设模块.ixx:10283	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10283;自我动作实现.外设模块.ixx:10373
yes	特征_候选方法头节点	特征_候选方法头节点	自我动作实现.外设模块.ixx:1032	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1032;自我动作实现模块.ixx:549
yes	观察存在空间证据通过	观察存在空间证据通过	自我动作实现.外设模块.ixx:10448	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10448;自我动作实现.外设模块.ixx:10476
yes	观察存在归属证据通过	观察存在归属证据通过	自我动作实现.外设模块.ixx:10457	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10457;自我动作实现.外设模块.ixx:10477
yes	统计已验证观察存在数量	统计已验证观察存在数量	自我动作实现.外设模块.ixx:10481	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10481;自我动作实现.外设模块.ixx:11299
yes	生成已验证观察存在项集合	生成已验证观察存在项集合	自我动作实现.外设模块.ixx:10503	2	根据当前输入生成目标数据、场景、动态或回执。		自我动作实现.外设模块.ixx:10503;自我动作实现.外设模块.ixx:11254
yes	读取已确认观察存在投影ROI	读取已确认观察存在投影ROI	自我动作实现.外设模块.ixx:10606	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:10606;自我动作实现.外设模块.ixx:10921
yes	分区簇与预测ROI匹配分数	分区簇与预测ROI匹配分数	自我动作实现.外设模块.ixx:10633	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10633;自我动作实现.外设模块.ixx:10943
yes	指定存在跟踪预测区间有效	指定存在跟踪预测区间有效	自我动作实现.外设模块.ixx:10666	2	执行跟踪相关定位、匹配或结果输出逻辑。		自我动作实现.外设模块.ixx:10666;自我动作实现.外设模块.ixx:10689
yes	计算指定存在跟踪正式结果	计算指定存在跟踪正式结果	自我动作实现.外设模块.ixx:10673	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10673;自我动作实现.外设模块.ixx:21740
yes	特征_当前值	特征_当前值	自我动作实现.外设模块.ixx:1074	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1074;自我动作实现模块.ixx:591
yes	计算当前帧分区项区域归属状态	计算当前帧分区项区域归属状态	自我动作实现.外设模块.ixx:10741	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10741;自我动作实现.外设模块.ixx:24904
yes	计算当前帧分区结果区域归属状态	计算当前帧分区结果区域归属状态	自我动作实现.外设模块.ixx:10777	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10777;自我动作实现.外设模块.ixx:24864
yes	计算当前帧分区结果区域归属原因掩码	计算当前帧分区结果区域归属原因掩码	自我动作实现.外设模块.ixx:10808	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:10808;自我动作实现.外设模块.ixx:24865
yes	构造当前帧轮廓分区结果	构造当前帧轮廓分区结果	自我动作实现.外设模块.ixx:10840	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10840;自我动作实现.外设模块.ixx:24819
yes	特征_已绑定实参表	特征_已绑定实参表	自我动作实现.外设模块.ixx:1088	2	建立对象、任务、方法或因果之间的绑定关系。		自我动作实现.外设模块.ixx:1088;自我动作实现模块.ixx:605
yes	外设簇材料可交付观察方法	外设簇材料可交付观察方法	自我动作实现.外设模块.ixx:11057	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:11057;自我动作实现.外设模块.ixx:11096
yes	计算全帧像素归属账本	计算全帧像素归属账本	自我动作实现.外设模块.ixx:11242	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:11242;自我动作实现.外设模块.ixx:26675
yes	确认观察存在结果	确认观察存在结果	自我动作实现.外设模块.ixx:11276	2	确认候选事实、存在、状态或运行结果。		自我动作实现.外设模块.ixx:11276;自我动作实现.外设模块.ixx:26674
yes	双目相机失败原因词	双目相机失败原因词	自我动作实现.外设模块.ixx:11342	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:11342;自我动作实现.外设模块.ixx:11369
yes	打开双目相机适配器	打开双目相机适配器	自我动作实现.外设模块.ixx:11676	2	适配外部接口、模块协议或调用结果。		自我动作实现.外设模块.ixx:11676;自我动作实现.外设模块.ixx:17535
yes	释放双目相机适配器	释放双目相机适配器	自我动作实现.外设模块.ixx:11684	2	适配外部接口、模块协议或调用结果。		自我动作实现.外设模块.ixx:11684;自我动作实现.外设模块.ixx:17615
yes	检查双目相机适配器状态	检查双目相机适配器状态	自我动作实现.外设模块.ixx:11694	2	检查状态、条件、缺口或运行约束。		自我动作实现.外设模块.ixx:11694;自我动作实现.外设模块.ixx:17686
yes	写入空间候选事实	写入空间候选事实	自我动作实现.外设模块.ixx:11726	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:11726;自我动作实现.外设模块.ixx:11793
yes	写入空间候选逐项账本	写入空间候选逐项账本	自我动作实现.外设模块.ixx:11786	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:11786;自我动作实现.外设模块.ixx:12107
yes	读取空间候选事实	读取空间候选事实	自我动作实现.外设模块.ixx:11798	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:11798;自我动作实现.外设模块.ixx:11872
yes	取或创建观察诊断区域事实	取或创建观察诊断区域事实	自我动作实现.外设模块.ixx:11886	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:11886;自我动作实现.外设模块.ixx:11915
yes	写入观察诊断区域事实	写入观察诊断区域事实	自我动作实现.外设模块.ixx:11910	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:11910;自我动作实现.外设模块.ixx:11938
yes	写入观察诊断区域逐项账本	写入观察诊断区域逐项账本	自我动作实现.外设模块.ixx:11931	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:11931;自我动作实现.外设模块.ixx:12108
yes	读取观察诊断区域事实	读取观察诊断区域事实	自我动作实现.外设模块.ixx:11943	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:11943;自我动作实现.外设模块.ixx:11978
yes	写入自我观察帧质量摘要	写入自我观察帧质量摘要	自我动作实现.外设模块.ixx:12182	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:12182;自我动作实现.外设模块.ixx:18453
yes	计算外设观察存在多帧派生状态	计算外设观察存在多帧派生状态	自我动作实现.外设模块.ixx:12245	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:12245;自我动作实现.外设模块.ixx:12491
yes	构造正式逐簇报告缺口说明	构造正式逐簇报告缺口说明	自我动作实现.外设模块.ixx:12306	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:12306;自我动作实现.外设模块.ixx:23306
yes	值_来源_输入现实场景包	值_来源_输入现实场景包	自我动作实现.外设模块.ixx:1235	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1235;自我动作实现模块.ixx:759
yes	值_来源_输入任务参数包	值_来源_输入任务参数包	自我动作实现.外设模块.ixx:1242	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1242;自我动作实现模块.ixx:766
yes	计算外设逐簇报告候选验证状态	计算外设逐簇报告候选验证状态	自我动作实现.外设模块.ixx:12430	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:12430;自我动作实现.外设模块.ixx:21311
yes	写入自我观察帧接口摘要	写入自我观察帧接口摘要	自我动作实现.外设模块.ixx:12512	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:12512;自我动作实现.外设模块.ixx:18051
yes	值_来源_目标现实场景	值_来源_目标现实场景	自我动作实现.外设模块.ixx:1263	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1263;自我动作实现模块.ixx:787
yes	已落账像素观察事实索引	已落账像素观察事实索引	自我动作实现.外设模块.ixx:12877	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:12877;自我动作实现.外设模块.ixx:25437
yes	写入空间候选观察队列逐项账本	写入空间候选观察队列逐项账本	自我动作实现.外设模块.ixx:12892	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:12892;自我动作实现.外设模块.ixx:13136
yes	计算场景坐标换算置信度	计算场景坐标换算置信度	自我动作实现.外设模块.ixx:12956	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:12956;自我动作实现.外设模块.ixx:22860
yes	读取观察存在来源中心坐标	读取观察存在来源中心坐标	自我动作实现.外设模块.ixx:12966	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:12966;自我动作实现.外设模块.ixx:13014
yes	构造存在空间相对坐标表_同源观察	构造存在空间相对坐标表_同源观察	自我动作实现.外设模块.ixx:12983	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:12983;自我动作实现.外设模块.ixx:22965
yes	写入全帧像素归属账本摘要	写入全帧像素归属账本摘要	自我动作实现.外设模块.ixx:13058	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:13058;自我动作实现.外设模块.ixx:13239
yes	写入双目相机观察存在确认摘要	写入双目相机观察存在确认摘要	自我动作实现.外设模块.ixx:13220	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:13220;自我动作实现.外设模块.ixx:26692
yes	值_任务回执_运行成功	值_任务回执_运行成功	自我动作实现.外设模块.ixx:1331	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1331;自我动作实现模块.ixx:855
yes	取存在所在场景	取存在所在场景	自我动作实现.外设模块.ixx:13320	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:13320;自我动作实现.外设模块.ixx:13881
yes	值_任务回执_运行失败	值_任务回执_运行失败	自我动作实现.外设模块.ixx:1338	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1338;自我动作实现模块.ixx:862
yes	评估当前场景特征值材料门项状态	评估当前场景特征值材料门项状态	自我动作实现.外设模块.ixx:13393	2	评估状态、风险、质量、权重或完成度。		自我动作实现.外设模块.ixx:13393;自我动作实现.外设模块.ixx:13527
yes	值_任务回执_等待学习	值_任务回执_等待学习	自我动作实现.外设模块.ixx:1345	2	等待线程、任务、外设或条件变化。		自我动作实现.外设模块.ixx:1345;自我动作实现模块.ixx:869
yes	值_任务回执_等待补齐	值_任务回执_等待补齐	自我动作实现.外设模块.ixx:1352	2	等待线程、任务、外设或条件变化。		自我动作实现.外设模块.ixx:1352;自我动作实现模块.ixx:876
yes	追加安全因果候选条目	追加安全因果候选条目	自我动作实现.外设模块.ixx:13567	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:13567;自我动作实现.外设模块.ixx:13602
yes	值_任务回执_不可推进	值_任务回执_不可推进	自我动作实现.外设模块.ixx:1359	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1359;自我动作实现模块.ixx:883
yes	构造安全因果候选条目_由存在特征值	构造安全因果候选条目_由存在特征值	自我动作实现.外设模块.ixx:13619	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:13619;自我动作实现.外设模块.ixx:20789
yes	值_任务回执_条件不满足	值_任务回执_条件不满足	自我动作实现.外设模块.ixx:1366	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1366;自我动作实现模块.ixx:890
yes	写入安全因果候选条目明细	写入安全因果候选条目明细	自我动作实现.外设模块.ixx:13673	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:13673;自我动作实现.外设模块.ixx:20829
yes	值_任务回执_运行未达成目标	值_任务回执_运行未达成目标	自我动作实现.外设模块.ixx:1373	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1373;自我动作实现模块.ixx:897
yes	值_无筹办缺口	值_无筹办缺口	自我动作实现.外设模块.ixx:1380	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1380;自我动作实现模块.ixx:904
yes	目标特征当前值类型代码	目标特征当前值类型代码	自我动作实现.外设模块.ixx:13806	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:13806;自我动作实现.外设模块.ixx:21136
yes	目标特征当前值类型文本	目标特征当前值类型文本	自我动作实现.外设模块.ixx:13818	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:13818;自我动作实现.外设模块.ixx:21180
yes	读取目标特征当前值约束快照	读取目标特征当前值约束快照	自我动作实现.外设模块.ixx:13831	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:13831;自我动作实现.外设模块.ixx:20996
yes	值_筹办缺口_任务信息缺失	值_筹办缺口_任务信息缺失	自我动作实现.外设模块.ixx:1387	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1387;自我动作实现模块.ixx:911
yes	值_筹办缺口_需求目标不可解析	值_筹办缺口_需求目标不可解析	自我动作实现.外设模块.ixx:1394	2	解析输入文本、消息、场景或运行包。		自我动作实现.外设模块.ixx:1394;自我动作实现模块.ixx:918
yes	写入内部世界基础摘要	写入内部世界基础摘要	自我动作实现.外设模块.ixx:13965	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:13965;自我动作实现.外设模块.ixx:25541
yes	值_筹办缺口_无确定候选方法	值_筹办缺口_无确定候选方法	自我动作实现.外设模块.ixx:1401	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1401;自我动作实现模块.ixx:925
yes	值_筹办缺口_候选方法不可用	值_筹办缺口_候选方法不可用	自我动作实现.外设模块.ixx:1408	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1408;自我动作实现模块.ixx:932
yes	取或创建内部世界子存在	取或创建内部世界子存在	自我动作实现.外设模块.ixx:14091	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14091;自我动作实现.外设模块.ixx:25806
yes	值_筹办缺口_候选方法缺执行入口	值_筹办缺口_候选方法缺执行入口	自我动作实现.外设模块.ixx:1415	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1415;自我动作实现模块.ixx:939
yes	值_筹办缺口_候选方法条件不满足	值_筹办缺口_候选方法条件不满足	自我动作实现.外设模块.ixx:1422	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1422;自我动作实现模块.ixx:946
yes	值_筹办缺口_参数配对失败	值_筹办缺口_参数配对失败	自我动作实现.外设模块.ixx:1429	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1429;自我动作实现模块.ixx:953
yes	解析历史观察存在	解析历史观察存在	自我动作实现.外设模块.ixx:14317	2	解析输入文本、消息、场景或运行包。		自我动作实现.外设模块.ixx:14317;自我动作实现.外设模块.ixx:25981
yes	计算范围坐标重叠率	计算范围坐标重叠率	自我动作实现.外设模块.ixx:14384	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14384;自我动作实现.外设模块.ixx:14519
yes	计算存在中心坐标差	计算存在中心坐标差	自我动作实现.外设模块.ixx:14395	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14395;自我动作实现.外设模块.ixx:14518
yes	计算存在尺寸差	计算存在尺寸差	自我动作实现.外设模块.ixx:14406	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14406;自我动作实现.外设模块.ixx:14520
yes	计算存在轮廓差	计算存在轮廓差	自我动作实现.外设模块.ixx:14417	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14417;自我动作实现.外设模块.ixx:14535
yes	值_执行缺口_任务状态不允许执行	值_执行缺口_任务状态不允许执行	自我动作实现.外设模块.ixx:1443	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1443;自我动作实现模块.ixx:967
yes	计算匹配置信度	计算匹配置信度	自我动作实现.外设模块.ixx:14437	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14437;自我动作实现.外设模块.ixx:14536
yes	取或创建观察存在匹配关系	取或创建观察存在匹配关系	自我动作实现.外设模块.ixx:14458	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14458;自我动作实现.外设模块.ixx:14515
yes	取或创建观察存在变化结果	取或创建观察存在变化结果	自我动作实现.外设模块.ixx:14472	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14472;自我动作实现.外设模块.ixx:14575
yes	取或创建观察变化事件	取或创建观察变化事件	自我动作实现.外设模块.ixx:14486	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14486;自我动作实现.外设模块.ixx:14650
yes	值_执行缺口_当前方法缺失	值_执行缺口_当前方法缺失	自我动作实现.外设模块.ixx:1450	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1450;自我动作实现模块.ixx:974
yes	值_执行缺口_当前方法无执行入口	值_执行缺口_当前方法无执行入口	自我动作实现.外设模块.ixx:1464	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1464;自我动作实现模块.ixx:988
yes	计算观察变化事件	计算观察变化事件	自我动作实现.外设模块.ixx:14642	2	计算权重、状态、差值或派生结果。		自我动作实现.外设模块.ixx:14642;自我动作实现.外设模块.ixx:25995
yes	写入观察变化方法结果	写入观察变化方法结果	自我动作实现.外设模块.ixx:14704	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:14704;自我动作实现.外设模块.ixx:26028
yes	值_执行缺口_输出结果缺失	值_执行缺口_输出结果缺失	自我动作实现.外设模块.ixx:1485	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1485;自我动作实现模块.ixx:1009
yes	场景复现候选范围有效	场景复现候选范围有效	自我动作实现.外设模块.ixx:14861	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:14861;自我动作实现.外设模块.ixx:15149
yes	取或创建场景识别快照	取或创建场景识别快照	自我动作实现.外设模块.ixx:14869	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14869;自我动作实现.外设模块.ixx:26151
yes	取或创建OpenGL复现数据	取或创建OpenGL复现数据	自我动作实现.外设模块.ixx:14875	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:14875;自我动作实现.外设模块.ixx:26160
yes	读取场景复现上下文	读取场景复现上下文	自我动作实现.外设模块.ixx:14881	2	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:14881;自我动作实现.外设模块.ixx:26147
yes	值_执行缺口_需求未满足	值_执行缺口_需求未满足	自我动作实现.外设模块.ixx:1492	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1492;自我动作实现模块.ixx:1016
yes	值_派生需求_重新筹办任务	值_派生需求_重新筹办任务	自我动作实现.外设模块.ixx:1499	2	推进任务筹办，形成候选、缺口或就绪回执。		自我动作实现.外设模块.ixx:1499;自我动作实现模块.ixx:1023
yes	值_派生需求_检查当前方法执行入口	值_派生需求_检查当前方法执行入口	自我动作实现.外设模块.ixx:1506	2	检查状态、条件、缺口或运行约束。		自我动作实现.外设模块.ixx:1506;自我动作实现模块.ixx:1030
yes	值_方法运行结果_筹办成功	值_方法运行结果_筹办成功	自我动作实现.外设模块.ixx:1513	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1513;自我动作实现模块.ixx:1037
yes	写入OpenGL复现数据摘要	写入OpenGL复现数据摘要	自我动作实现.外设模块.ixx:15143	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:15143;自我动作实现.外设模块.ixx:26161
yes	写入场景复现方法结果	写入场景复现方法结果	自我动作实现.外设模块.ixx:15170	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:15170;自我动作实现.外设模块.ixx:26192
yes	值_方法运行结果_筹办未完成	值_方法运行结果_筹办未完成	自我动作实现.外设模块.ixx:1520	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1520;自我动作实现模块.ixx:1044
yes	值_方法运行结果_筹办失败	值_方法运行结果_筹办失败	自我动作实现.外设模块.ixx:1527	2	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1527;自我动作实现模块.ixx:1051
yes	特征_执行前值	特征_执行前值	自我动作实现.外设模块.ixx:1590	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1590;自我动作实现模块.ixx:1114
yes	特征_执行后值	特征_执行后值	自我动作实现.外设模块.ixx:1597	2	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1597;自我动作实现模块.ixx:1121
yes	特征_改变量	特征_改变量	自我动作实现.外设模块.ixx:1631	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1631;自我动作实现模块.ixx:1155
yes	特征_服务值	特征_服务值	自我动作实现.外设模块.ixx:1638	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1638;自我动作实现模块.ixx:1162
yes	特征_待处理方法数量	特征_待处理方法数量	自我动作实现.外设模块.ixx:1644	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1644;自我动作实现模块.ixx:1168
yes	特征_可用方法数量	特征_可用方法数量	自我动作实现.外设模块.ixx:1651	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1651;自我动作实现模块.ixx:1175
yes	特征_需求条件包	特征_需求条件包	自我动作实现.外设模块.ixx:1658	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1658;自我动作实现模块.ixx:1182
yes	特征_查找限制包	特征_查找限制包	自我动作实现.外设模块.ixx:1665	2	按条件查找目标对象、方法或事实。		自我动作实现.外设模块.ixx:1665;自我动作实现模块.ixx:1189
yes	特征_方法搜索根	特征_方法搜索根	自我动作实现.外设模块.ixx:1679	2	在候选范围内搜索目标对象或路径。		自我动作实现.外设模块.ixx:1679;自我动作实现模块.ixx:1203
yes	名称_双目相机外设	名称_双目相机外设	自我动作实现.外设模块.ixx:17298	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:17298;自我动作实现.外设模块.ixx:17336
yes	类型_外设存在	类型_外设存在	自我动作实现.外设模块.ixx:17305	2	按函数名执行对应处理。		自我动作实现.外设模块.ixx:17305;自我动作实现.外设模块.ixx:17337
yes	取或创建双目相机外设存在	取或创建双目相机外设存在	自我动作实现.外设模块.ixx:17327	2	创建并返回或登记对应对象。		自我动作实现.外设模块.ixx:17327;自我动作实现.外设模块.ixx:17357
yes	写入输出结果I64状态	写入输出结果I64状态	自我动作实现.外设模块.ixx:17460	2	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:17460;自我动作实现.外设模块.ixx:18923
