"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"确认自我导出当前场景识别快照规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17889[定义];自我动作实现.外部模块.ixx:592[定义];自我动作实现模块.ixx:8993[定义]"
"确认自我将存在局部观察切片映射到内部世界规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17719[定义];自我动作实现.外部模块.ixx:493[定义];自我动作实现模块.ixx:8921[定义]"
"确认自我建立像素观察事实索引规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16208[定义];自我动作实现.外部模块.ixx:115[定义];自我动作实现模块.ixx:8433[定义]"
"确认自我建立存在内外场景接口规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17702[定义];自我动作实现.外部模块.ixx:484[定义];自我动作实现模块.ixx:8912[定义]"
"确认自我建立最小自我边界参照规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16569[定义];自我动作实现.外部模块.ixx:340[定义];自我动作实现模块.ixx:8519[定义]"
"确认自我建立观察帧到自我场景接口规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16192[定义];自我动作实现.外部模块.ixx:106[定义];自我动作实现模块.ixx:8424[定义]"
"确认自我建立观察帧存在规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16153[定义];自我动作实现.外部模块.ixx:97[定义];自我动作实现模块.ixx:8415[定义]"
"确认自我执行多帧重采样并择优规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17425[定义];自我动作实现.外部模块.ixx:376[定义];自我动作实现模块.ixx:8804[定义]"
"确认自我承接像素特征值规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16235[定义];自我动作实现.外部模块.ixx:124[定义];自我动作实现模块.ixx:8442[定义]"
"确认自我按ROI重算观察质量规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17416[定义];自我动作实现.外部模块.ixx:367[定义];自我动作实现模块.ixx:8795[定义]"
"确认自我按像素坐标回查观察事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17461[定义];自我动作实现.外部模块.ixx:412[定义];自我动作实现模块.ixx:8840[定义]"
"确认自我按已确认轮廓分区当前帧规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17298[定义];自我动作实现.外部模块.ixx:331[定义];自我动作实现模块.ixx:8773[定义]"
"确认自我提交目标观察约束特征组规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16776[定义];自我动作实现.外部模块.ixx:259[定义];自我动作实现模块.ixx:8662[定义]"
"确认自我提取空间候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17483[定义];自我动作实现.外部模块.ixx:421[定义];自我动作实现模块.ixx:8849[定义]"
"确认自我明确当前场景持续观察需求规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16672[定义];自我动作实现.外部模块.ixx:196[定义];自我动作实现模块.ixx:8558[定义]"
"确认自我明确负向影响处置需求规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16724[定义];自我动作实现.外部模块.ixx:214[定义];自我动作实现模块.ixx:8584[定义]"
"确认自我校验观察事实完备性规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16258[定义];自我动作实现.外部模块.ixx:133[定义];自我动作实现模块.ixx:8451[定义]"
"确认自我比较存在特征变化规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17851[定义];自我动作实现.外部模块.ixx:574[定义];自我动作实现模块.ixx:8975[定义]"
"确认自我生成低置信补偿观察候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17434[定义];自我动作实现.外部模块.ixx:385[定义];自我动作实现模块.ixx:8813[定义]"
"确认自我生成存在自我相对安全特征规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16609[定义];自我动作实现.外部模块.ixx:349[定义];自我动作实现模块.ixx:8532[定义]"
"确认自我生成空间候选观察队列规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17552[定义];自我动作实现.外部模块.ixx:439[定义];自我动作实现模块.ixx:8867[定义]"
"确认自我生成观察变化事件规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17872[定义];自我动作实现.外部模块.ixx:583[定义];自我动作实现模块.ixx:8984[定义]"
"确认自我用空间范围投影覆盖原帧验证像素归属规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17602[定义];自我动作实现.外部模块.ixx:457[定义];自我动作实现模块.ixx:8885[定义]"
"确认自我确保存在内部世界规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17693[定义];自我动作实现.外部模块.ixx:475[定义];自我动作实现模块.ixx:8903[定义]"
"确认自我确认内部世界子存在规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17758[定义];自我动作实现.外部模块.ixx:511[定义];自我动作实现模块.ixx:8939[定义]"
"确认自我确认外设观察存在候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17224[定义];自我动作实现.外部模块.ixx:268[定义];自我动作实现模块.ixx:8675[定义]"
"确认自我确认观察存在并更新帧解释状态规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17637[定义];自我动作实现.外部模块.ixx:466[定义];自我动作实现模块.ixx:8894[定义]"
"确认自我观察单个空间候选并组合存在假设规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17574[定义];自我动作实现.外部模块.ixx:448[定义];自我动作实现模块.ixx:8876[定义]"
"确认自我评估观察帧质量规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16275[定义];自我动作实现.外部模块.ixx:142[定义];自我动作实现模块.ixx:8460[定义]"
"确认自我识别外设观察材料规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16812[定义];自我动作实现.外部模块.ixx:241[定义];自我动作实现模块.ixx:8623[定义]"
"确认自我诊断观察质量缺口并派生补观察需求规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17369[定义];自我动作实现.外部模块.ixx:151[定义];自我动作实现模块.ixx:8469[定义]"
"确认自我读取自我关键特征变化规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16542[定义];自我动作实现.外部模块.ixx:178[定义];自我动作实现模块.ixx:8506[定义]"
"确认自我调整外设观察姿态规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17443[定义];自我动作实现.外部模块.ixx:394[定义];自我动作实现模块.ixx:8822[定义]"
"确认自我调整相机参数并重采样规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17407[定义];自我动作实现.外部模块.ixx:358[定义];自我动作实现模块.ixx:8786[定义]"
"确认自我调整观察位置规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17452[定义];自我动作实现.外部模块.ixx:403[定义];自我动作实现模块.ixx:8831[定义]"
"确认自我跟踪指定存在规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16922[定义];自我动作实现.外部模块.ixx:250[定义];自我动作实现模块.ixx:8649[定义]"
"确认自我递归细分存在内部世界规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17797[定义];自我动作实现.外部模块.ixx:529[定义];自我动作实现模块.ixx:8957[定义]"
"确认自我验证外设观察像素簇候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17139[定义];自我动作实现.外部模块.ixx:232[定义];自我动作实现模块.ixx:8610[定义]"
"私有_世界类型文本"	"3"	"3"	"0"	"控制面板类.cpp:1145[定义];语言类_二次特征表达.cpp:34[定义];语言类_基础信息命名.cpp:32[定义]"
"私有_任务头绑定需求"	"3"	"3"	"0"	"控制面板摘要线程模块.impl.cpp:217[定义];控制面板类.cpp:261[定义];鱼巢.cpp:622[定义]"
"私有_任务节点属于需求任务链"	"3"	"3"	"0"	"控制面板摘要线程模块.impl.cpp:226[定义];控制面板类.cpp:270[定义];鱼巢.cpp:631[定义]"
"私有_清理主信息_已加锁"	"3"	"0"	"3"	"基础信息类.h:86[声明];语素类.h:103[声明];语言类.h:44[声明]"
"私有_特征值非空_线程侧"	"3"	"3"	"0"	"自我线程模块.impl.cpp:1033[定义];自我线程模块.impl.cpp:1142[定义];自我线程模块.impl.cpp:1153[定义]"
"私有_直接基础信息子节点"	"3"	"3"	"0"	"世界树类.cpp:95[定义];特征类.cpp:73[定义];语言类_存在表达.cpp:47[定义]"
"私有_线程最终去向文本"	"3"	"3"	"0"	"控制面板类.cpp:688[定义];自我线程模块.impl.cpp:12895[定义];鱼巢.cpp:499[定义]"
"私有_线程生命周期文本"	"3"	"3"	"0"	"控制面板类.cpp:651[定义];自我线程模块.impl.cpp:12805[定义];鱼巢.cpp:174[定义]"
"私有_线程运行阶段文本"	"3"	"3"	"0"	"控制面板类.cpp:666[定义];自我线程模块.impl.cpp:12873[定义];鱼巢.cpp:477[定义]"
"私有_设置同层环头"	"3"	"1"	"2"	"双向链表模板_深拷贝.inl:105[声明];双向链表模板核心.h:210[定义];双向链表模板核心.h:533[声明]"
"私有_追加等号字段"	"3"	"3"	"0"	"控制面板类.cpp:2724[定义];控制面板类.cpp:2733[定义];控制面板类.cpp:2742[定义]"
"私有_饱和减"	"3"	"3"	"0"	"世界树类.cpp:175[定义];特征类.cpp:134[定义];自我类.cpp:37[定义]"
"自我判断基础观察事实可用性"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:19157[定义];自我动作实现.外部模块.ixx:745[定义];自我动作实现模块.ixx:12356[定义]"
"自我判断空间候选相对独立性"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26955[定义];自我动作实现.外部模块.ixx:1015[定义];自我动作实现模块.ixx:12662[定义]"
"自我匹配当前观察存在与历史观察存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26691[定义];自我动作实现.外部模块.ixx:1150[定义];自我动作实现模块.ixx:12770[定义]"
"自我在内部世界提取子候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26355[定义];自我动作实现.外部模块.ixx:1087[定义];自我动作实现模块.ixx:12734[定义]"
"自我导出OpenGL复现数据"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26872[定义];自我动作实现.外部模块.ixx:1186[定义];自我动作实现模块.ixx:12806[定义]"
"自我导出当前场景识别快照"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26854[定义];自我动作实现.外部模块.ixx:1177[定义];自我动作实现模块.ixx:12797[定义]"
"自我将存在局部观察切片映射到内部世界"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26337[定义];自我动作实现.外部模块.ixx:1078[定义];自我动作实现模块.ixx:12725[定义]"
"自我建立像素观察事实索引"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18828[定义];自我动作实现.外部模块.ixx:700[定义];自我动作实现模块.ixx:12311[定义]"
"自我建立存在内外场景接口"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26319[定义];自我动作实现.外部模块.ixx:1069[定义];自我动作实现模块.ixx:12716[定义]"
"自我建立最小自我边界参照"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:21025[定义];自我动作实现.外部模块.ixx:988[定义];自我动作实现模块.ixx:12383[定义]"
"自我建立观察帧到自我场景接口"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18692[定义];自我动作实现.外部模块.ixx:691[定义];自我动作实现模块.ixx:12302[定义]"
"自我建立观察帧存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18620[定义];自我动作实现.外部模块.ixx:682[定义];自我动作实现模块.ixx:12293[定义]"
"自我执行多帧重采样并择优"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25959[定义];自我动作实现.外部模块.ixx:943[定义];自我动作实现模块.ixx:12608[定义]"
"自我承接像素特征值"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18911[定义];自我动作实现.外部模块.ixx:709[定义];自我动作实现模块.ixx:12320[定义]"
"自我按ROI重算观察质量"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25944[定义];自我动作实现.外部模块.ixx:934[定义];自我动作实现模块.ixx:12599[定义]"
"自我按像素坐标回查观察事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26038[定义];自我动作实现.外部模块.ixx:979[定义];自我动作实现模块.ixx:12644[定义]"
"自我按已确认轮廓分区当前帧"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25416[定义];自我动作实现.外部模块.ixx:916[定义];自我动作实现模块.ixx:12581[定义]"
"自我提交目标观察约束特征组"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:21618[定义];自我动作实现.外部模块.ixx:844[定义];自我动作实现模块.ixx:12482[定义]"
"自我提取空间候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26890[定义];自我动作实现.外部模块.ixx:1006[定义];自我动作实现模块.ixx:12653[定义]"
"自我明确当前场景持续观察需求"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20415[定义];自我动作实现.外部模块.ixx:781[定义];自我动作实现模块.ixx:12410[定义]"
"自我明确负向影响处置需求"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20629[定义];自我动作实现.外部模块.ixx:799[定义];自我动作实现模块.ixx:12428[定义]"
"自我校验观察事实完备性"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18995[定义];自我动作实现.外部模块.ixx:718[定义];自我动作实现模块.ixx:12329[定义]"
"自我比较存在特征变化"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26709[定义];自我动作实现.外部模块.ixx:1159[定义];自我动作实现模块.ixx:12779[定义]"
"自我生成低置信补偿观察候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25974[定义];自我动作实现.外部模块.ixx:952[定义];自我动作实现模块.ixx:12617[定义]"
"自我生成存在自我相对安全特征"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:21198[定义];自我动作实现.外部模块.ixx:997[定义];自我动作实现模块.ixx:12392[定义]"
"自我生成空间候选观察队列"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:27032[定义];自我动作实现.外部模块.ixx:1024[定义];自我动作实现模块.ixx:12671[定义]"
"自我生成观察变化事件"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26727[定义];自我动作实现.外部模块.ixx:1168[定义];自我动作实现模块.ixx:12788[定义]"
"自我用空间范围投影覆盖原帧验证像素归属"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:27192[定义];自我动作实现.外部模块.ixx:1042[定义];自我动作实现模块.ixx:12689[定义]"
"自我确保存在内部世界"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26301[定义];自我动作实现.外部模块.ixx:1060[定义];自我动作实现模块.ixx:12707[定义]"
"自我确认内部世界子存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26373[定义];自我动作实现.外部模块.ixx:1096[定义];自我动作实现模块.ixx:12743[定义]"
"自我确认外设观察存在候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:23268[定义];自我动作实现.外部模块.ixx:853[定义];自我动作实现模块.ixx:12491[定义]"
"自我确认观察存在并更新帧解释状态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:27276[定义];自我动作实现.外部模块.ixx:1051[定义];自我动作实现模块.ixx:12698[定义]"
"自我观察单个空间候选并组合存在假设"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:27110[定义];自我动作实现.外部模块.ixx:1033[定义];自我动作实现模块.ixx:12680[定义]"
"自我评估观察帧质量"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:19076[定义];自我动作实现.外部模块.ixx:727[定义];自我动作实现模块.ixx:12338[定义]"
"自我识别外设观察材料"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:21884[定义];自我动作实现.外部模块.ixx:826[定义];自我动作实现模块.ixx:12455[定义]"
"自我诊断观察质量缺口并派生补观察需求"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25692[定义];自我动作实现.外部模块.ixx:736[定义];自我动作实现模块.ixx:12347[定义]"
"自我读取自我关键特征变化"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20858[定义];自我动作实现.外部模块.ixx:763[定义];自我动作实现模块.ixx:12374[定义]"
"自我调整外设观察姿态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25989[定义];自我动作实现.外部模块.ixx:961[定义];自我动作实现模块.ixx:12626[定义]"
"自我调整相机参数并重采样"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25929[定义];自我动作实现.外部模块.ixx:925[定义];自我动作实现模块.ixx:12590[定义]"
"自我调整观察位置"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26004[定义];自我动作实现.外部模块.ixx:970[定义];自我动作实现模块.ixx:12635[定义]"
"自我跟踪指定存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:22382[定义];自我动作实现.外部模块.ixx:835[定义];自我动作实现模块.ixx:12473[定义]"
"自我递归细分存在内部世界"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26556[定义];自我动作实现.外部模块.ixx:1141[定义];自我动作实现模块.ixx:12761[定义]"
"自我验证外设观察像素簇候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:22836[定义];自我动作实现.外部模块.ixx:817[定义];自我动作实现模块.ixx:12446[定义]"
"获取子特征"	"3"	"0"	"3"	"场景类.h:30[声明];存在类.h:75[声明];特征类.h:304[声明]"
"解析实例特征命中抽象特征"	"3"	"1"	"2"	"世界树类.h:129[声明];特征类.h:327[声明];自我动作实现模块.ixx:5965[定义]"
"语素入口主信息类"	"3"	"3"	"0"	"语素主信息类.h:413[定义];语素主信息类.h:419[定义];语素主信息类.h:427[定义]"
"语素入口主键相同"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8600[定义];自我动作实现.扫描.ixx:1296[定义];自我动作实现模块.ixx:3141[定义]"
"语素类"	"3"	"0"	"3"	"语素类.h:28[声明];语素类.h:31[声明];语素类.h:33[声明]"
"语素类::查找人类词性入口节点"	"3"	"3"	"0"	"语素类.cpp:762[定义];语素类.cpp:769[定义];语素类.cpp:775[定义]"
"语言类"	"3"	"0"	"3"	"语言类.h:13[声明];语言类.h:16[声明];语言类.h:18[声明]"
"读取基础节点I64"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:7977[定义];自我动作实现.服务模块.ixx:1650[定义];自我动作实现模块.ixx:2705[定义]"
"读取基础节点指针"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8003[定义];自我动作实现.服务模块.ixx:1287[定义];自我动作实现模块.ixx:2731[定义]"
"读取数据"	"3"	"2"	"1"	"双向链表模板_序列化.inl:242[定义];双向链表模板核心.h:688[声明];双向链表模板核心.h:691[定义]"
"读取调用信息指针"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8140[定义];自我动作实现.服务模块.ixx:1348[定义];自我动作实现模块.ixx:2836[定义]"
"读取输入包I64"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8100[定义];自我动作实现.服务模块.ixx:1662[定义];自我动作实现模块.ixx:2796[定义]"
"读取输入包指针"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8115[定义];自我动作实现.服务模块.ixx:1333[定义];自我动作实现模块.ixx:2811[定义]"
"输入包根"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8088[定义];自我动作实现.服务模块.ixx:1300[定义];自我动作实现模块.ixx:2784[定义]"
"输入条件包根"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:8130[定义];自我动作实现.服务模块.ixx:1312[定义];自我动作实现模块.ixx:2826[定义]"
"采集一帧"	"3"	"2"	"1"	"D455相机类.cpp:95[定义];双目相机本能适配器.cpp:1374[定义];双目相机本能适配器.h:206[声明]"
"释放双目相机"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18274[定义];自我动作实现.外部模块.ixx:619[定义];自我动作实现模块.ixx:12230[定义]"
"Vector3D"	"2"	"1"	"1"	"基础数据类型.h:955[声明];基础数据类型.h:958[定义]"
"_写字符串"	"2"	"1"	"1"	"双向链表模板_序列化.inl:28[定义];双向链表模板核心.h:702[声明]"
"_由索引取指针"	"2"	"1"	"1"	"双向链表模板_序列化.inl:61[定义];双向链表模板核心.h:705[声明]"
"_索引或空"	"2"	"1"	"1"	"双向链表模板_序列化.inl:49[定义];双向链表模板核心.h:704[声明]"
"at"	"2"	"2"	"0"	"基础数据类型.h:1191[定义];基础数据类型.h:1194[定义]"
"cur"	"2"	"0"	"2"	"特征值类.h:275[声明];特征值类.h:331[声明]"
"operator-"	"2"	"2"	"0"	"基础数据类型.h:551[定义];基础数据类型.h:983[定义]"
"operator/"	"2"	"2"	"0"	"基础数据类型.h:970[定义];基础数据类型.h:1089[定义]"
"世界树类::二次特征"	"2"	"2"	"0"	"世界树类.cpp:914[定义];世界树类.cpp:917[定义]"
"世界树类::二次特征生成"	"2"	"2"	"0"	"世界树类.cpp:920[定义];世界树类.cpp:923[定义]"
"世界树类::值池"	"2"	"2"	"0"	"世界树类.cpp:890[定义];世界树类.cpp:893[定义]"
"世界树类::写入特征_I64"	"2"	"2"	"0"	"世界树类.cpp:1597[定义];世界树类.cpp:1603[定义]"
"世界树类::写入特征_VecI64"	"2"	"2"	"0"	"世界树类.cpp:1652[定义];世界树类.cpp:1662[定义]"
"世界树类::写入特征_VecU"	"2"	"2"	"0"	"世界树类.cpp:1629[定义];世界树类.cpp:1640[定义]"
"世界树类::写入特征_指针"	"2"	"2"	"0"	"世界树类.cpp:1610[定义];世界树类.cpp:1618[定义]"
"世界树类::动态"	"2"	"2"	"0"	"世界树类.cpp:932[定义];世界树类.cpp:935[定义]"
"世界树类::因果"	"2"	"2"	"0"	"世界树类.cpp:938[定义];世界树类.cpp:941[定义]"
"世界树类::场景"	"2"	"2"	"0"	"世界树类.cpp:908[定义];世界树类.cpp:911[定义]"
"世界树类::基础信息"	"2"	"2"	"0"	"世界树类.cpp:884[定义];世界树类.cpp:887[定义]"
"世界树类::存在"	"2"	"2"	"0"	"世界树类.cpp:902[定义];世界树类.cpp:905[定义]"
"世界树类::特征"	"2"	"2"	"0"	"世界树类.cpp:896[定义];世界树类.cpp:899[定义]"
"世界树类::状态"	"2"	"2"	"0"	"世界树类.cpp:926[定义];世界树类.cpp:929[定义]"
"世界树类::读取特征VecI64"	"2"	"2"	"0"	"世界树类.cpp:1745[定义];世界树类.cpp:1755[定义]"
"世界树类::读取特征_I64"	"2"	"2"	"0"	"世界树类.cpp:1686[定义];世界树类.cpp:1697[定义]"
"世界树类::读取特征_指针"	"2"	"2"	"0"	"世界树类.cpp:1708[定义];世界树类.cpp:1720[定义]"
"世界树类::读取特征快照"	"2"	"2"	"0"	"世界树类.cpp:1674[定义];世界树类.cpp:1680[定义]"
"二次特征生成模块::取或创建场景条件二次特征_枚举"	"2"	"2"	"0"	"二次特征应用模块.ixx:2529[定义];二次特征应用模块.ixx:2560[定义]"
"二次特征类::取二次特征主信息"	"2"	"2"	"0"	"二次特征类.cpp:328[定义];二次特征类.cpp:334[定义]"
"任务类::写入任务结果状态摘要_兼容"	"2"	"2"	"0"	"任务类.cpp:1421[定义];任务类.cpp:1434[定义]"
"任务类::读取任务执行方法"	"2"	"2"	"0"	"任务类.cpp:1720[定义];任务类.cpp:1734[定义]"
"任务类::读取任务管理对象任务"	"2"	"2"	"0"	"任务类.cpp:1643[定义];任务类.cpp:1662[定义]"
"保存控制面板HTML"	"2"	"2"	"0"	"控制面板类.cpp:14467[定义];控制面板类.cpp:14488[定义]"
"保存数据_已加锁"	"2"	"1"	"1"	"双向链表模板_序列化.inl:72[定义];双向链表模板核心.h:681[声明]"
"修改节点信息"	"2"	"2"	"0"	"双向链表模板核心.h:487[定义];双向链表模板核心.h:494[定义]"
"值_I64溢出"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7163[定义];自我动作实现模块.ixx:2317[定义]"
"值_不修改现实场景特征值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2110[定义];自我动作实现模块.ixx:1603[定义]"
"值_不执行被查找到的方法"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2117[定义];自我动作实现模块.ixx:1610[定义]"
"值_任务回执_不可推进"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1384[定义];自我动作实现模块.ixx:877[定义]"
"值_任务回执_条件不满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1391[定义];自我动作实现模块.ixx:884[定义]"
"值_任务回执_等待学习"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1370[定义];自我动作实现模块.ixx:863[定义]"
"值_任务回执_等待补齐"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1377[定义];自我动作实现模块.ixx:870[定义]"
"值_任务回执_运行失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1363[定义];自我动作实现模块.ixx:856[定义]"
"值_任务回执_运行成功"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1356[定义];自我动作实现模块.ixx:849[定义]"
"值_任务回执_运行未达成目标"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1398[定义];自我动作实现模块.ixx:891[定义]"
"值_任务状态动作动态_任务场景缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7261[定义];自我动作实现模块.ixx:2422[定义]"
"值_任务状态动作动态_任务状态特征缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7275[定义];自我动作实现模块.ixx:2436[定义]"
"值_任务状态动作动态_任务节点缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7254[定义];自我动作实现模块.ixx:2408[定义]"
"值_任务状态动作动态_任务虚拟存在缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7268[定义];自我动作实现模块.ixx:2429[定义]"
"值_任务状态动作动态_动态节点创建失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7289[定义];自我动作实现模块.ixx:2450[定义]"
"值_任务状态动作动态_提交方法首节点缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7247[定义];自我动作实现模块.ixx:2401[定义]"
"值_任务状态动作动态_来源方法入口无效"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7282[定义];自我动作实现模块.ixx:2443[定义]"
"值_任务状态动作动态创建失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7240[定义];自我动作实现模块.ixx:2394[定义]"
"值_候选动作未验证"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7317[定义];自我动作实现模块.ixx:2478[定义]"
"值_候选方法不可用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2054[定义];自我动作实现模块.ixx:1547[定义]"
"值_参数条件缺口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7352[定义];自我动作实现模块.ixx:2513[定义]"
"值_参数绑定失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1336[定义];自我动作实现模块.ixx:829[定义]"
"值_可执行输入参数场景创建失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7219[定义];自我动作实现模块.ixx:2373[定义]"
"值_因果证据不足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7303[定义];自我动作实现模块.ixx:2464[定义]"
"值_外设不可用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2138[定义];自我动作实现模块.ixx:1631[定义]"
"值_外设打开失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2131[定义];自我动作实现模块.ixx:1624[定义]"
"值_外设运行时缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2124[定义];自我动作实现模块.ixx:1617[定义]"
"值_外设采集失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2145[定义];自我动作实现模块.ixx:1638[定义]"
"值_实例特征未命中抽象特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7387[定义];自我动作实现模块.ixx:2548[定义]"
