"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"私有_追加等号字段"	"3"	"3"	"0"	"2"	"2x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=控制面板;约束=无显式约束 || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"3x 专用类/对应头文件：控制面板"	"控制面板类.cpp:2724: void 私有_追加等号字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const std::string& 值) || 控制面板类.cpp:2733: void 私有_追加等号字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const char* 值) || 控制面板类.cpp:2742: void 私有_追加等号字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const bool 值)"	"同名不同功能或约束，禁止直接合并"
"私有_饱和减"	"3"	"3"	"0"	"3"	"1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=世界;约束=noexcept || 1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：自我"	"世界树类.cpp:175: I64 私有_饱和减(I64 a, I64 b) noexcept || 特征类.cpp:134: I64 私有_饱和减(I64 a, I64 b) noexcept || 自我类.cpp:37: I64 私有_饱和减(I64 a, I64 b) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我判断基础观察事实可用性"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:19157: inline 存在节点类* 自我判断基础观察事实可用性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:745: inline 存在节点类* 自我判断基础观察事实可用性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12356: inline 存在节点类* 自我判断基础观察事实可用性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我判断空间候选相对独立性"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26955: inline 存在节点类* 自我判断空间候选相对独立性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1015: inline 存在节点类* 自我判断空间候选相对独立性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12662: inline 存在节点类* 自我判断空间候选相对独立性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我匹配当前观察存在与历史观察存在"	"3"	"3"	"0"	"2"	"2x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26691: inline 存在节点类* 自我匹配当前观察存在与历史观察存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1150: inline 存在节点类* 自我匹配当前观察存在与历史观察存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12770: inline 存在节点类* 自我匹配当前观察存在与历史观察存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我在内部世界提取子候选"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26355: inline 存在节点类* 自我在内部世界提取子候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1087: inline 存在节点类* 自我在内部世界提取子候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12734: inline 存在节点类* 自我在内部世界提取子候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我导出OpenGL复现数据"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26872: inline 存在节点类* 自我导出OpenGL复现数据( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1186: inline 存在节点类* 自我导出OpenGL复现数据( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12806: inline 存在节点类* 自我导出OpenGL复现数据( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我导出当前场景识别快照"	"3"	"3"	"0"	"2"	"2x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26854: inline 存在节点类* 自我导出当前场景识别快照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1177: inline 存在节点类* 自我导出当前场景识别快照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12797: inline 存在节点类* 自我导出当前场景识别快照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我将存在局部观察切片映射到内部世界"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26337: inline 存在节点类* 自我将存在局部观察切片映射到内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1078: inline 存在节点类* 自我将存在局部观察切片映射到内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12725: inline 存在节点类* 自我将存在局部观察切片映射到内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我建立像素观察事实索引"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:18828: inline 存在节点类* 自我建立像素观察事实索引( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:700: inline 存在节点类* 自我建立像素观察事实索引( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12311: inline 存在节点类* 自我建立像素观察事实索引( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我建立存在内外场景接口"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26319: inline 存在节点类* 自我建立存在内外场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1069: inline 存在节点类* 自我建立存在内外场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12716: inline 存在节点类* 自我建立存在内外场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我建立最小自我边界参照"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:21025: inline 存在节点类* 自我建立最小自我边界参照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:988: inline 存在节点类* 自我建立最小自我边界参照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12383: inline 存在节点类* 自我建立最小自我边界参照( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我建立观察帧到自我场景接口"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:18692: inline 存在节点类* 自我建立观察帧到自我场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:691: inline 存在节点类* 自我建立观察帧到自我场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12302: inline 存在节点类* 自我建立观察帧到自我场景接口( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我建立观察帧存在"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:18620: inline 存在节点类* 自我建立观察帧存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:682: inline 存在节点类* 自我建立观察帧存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12293: inline 存在节点类* 自我建立观察帧存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我执行多帧重采样并择优"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25959: inline 存在节点类* 自我执行多帧重采样并择优( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:943: inline 存在节点类* 自我执行多帧重采样并择优( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12608: inline 存在节点类* 自我执行多帧重采样并择优( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我承接像素特征值"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:18911: inline 存在节点类* 自我承接像素特征值( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:709: inline 存在节点类* 自我承接像素特征值( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12320: inline 存在节点类* 自我承接像素特征值( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我按ROI重算观察质量"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25944: inline 存在节点类* 自我按ROI重算观察质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:934: inline 存在节点类* 自我按ROI重算观察质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12599: inline 存在节点类* 自我按ROI重算观察质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我按像素坐标回查观察事实"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26038: inline 存在节点类* 自我按像素坐标回查观察事实( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:979: inline 存在节点类* 自我按像素坐标回查观察事实( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12644: inline 存在节点类* 自我按像素坐标回查观察事实( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我按已确认轮廓分区当前帧"	"3"	"3"	"0"	"2"	"2x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25416: inline 存在节点类* 自我按已确认轮廓分区当前帧( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:916: inline 存在节点类* 自我按已确认轮廓分区当前帧( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12581: inline 存在节点类* 自我按已确认轮廓分区当前帧( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我提交目标观察约束特征组"	"3"	"3"	"0"	"2"	"2x 类别=提交;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=提交;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:21618: inline 存在节点类* 自我提交目标观察约束特征组( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:844: inline 存在节点类* 自我提交目标观察约束特征组( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12482: inline 存在节点类* 自我提交目标观察约束特征组( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我提取空间候选"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26890: inline 存在节点类* 自我提取空间候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1006: inline 存在节点类* 自我提取空间候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12653: inline 存在节点类* 自我提取空间候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我明确当前场景持续观察需求"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:20415: inline 存在节点类* 自我明确当前场景持续观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:781: inline 存在节点类* 自我明确当前场景持续观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12410: inline 存在节点类* 自我明确当前场景持续观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我明确负向影响处置需求"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:20629: inline 存在节点类* 自我明确负向影响处置需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:799: inline 存在节点类* 自我明确负向影响处置需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12428: inline 存在节点类* 自我明确负向影响处置需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我校验观察事实完备性"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:18995: inline 存在节点类* 自我校验观察事实完备性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:718: inline 存在节点类* 自我校验观察事实完备性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12329: inline 存在节点类* 自我校验观察事实完备性( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我比较存在特征变化"	"3"	"3"	"0"	"2"	"2x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26709: inline 存在节点类* 自我比较存在特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1159: inline 存在节点类* 自我比较存在特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12779: inline 存在节点类* 自我比较存在特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我生成低置信补偿观察候选"	"3"	"3"	"0"	"2"	"2x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25974: inline 存在节点类* 自我生成低置信补偿观察候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:952: inline 存在节点类* 自我生成低置信补偿观察候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12617: inline 存在节点类* 自我生成低置信补偿观察候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我生成存在自我相对安全特征"	"3"	"3"	"0"	"2"	"2x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:21198: inline 存在节点类* 自我生成存在自我相对安全特征( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:997: inline 存在节点类* 自我生成存在自我相对安全特征( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12392: inline 存在节点类* 自我生成存在自我相对安全特征( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我生成空间候选观察队列"	"3"	"3"	"0"	"2"	"2x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:27032: inline 存在节点类* 自我生成空间候选观察队列( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1024: inline 存在节点类* 自我生成空间候选观察队列( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12671: inline 存在节点类* 自我生成空间候选观察队列( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
