文件	行号	结构体	字段行	主键类
外设观察报告队列.ixx	396	结构_外设已知存在扫描结果	std::string 当前掩码{};	否
外设观察报告队列.ixx	397	结构_外设已知存在扫描结果	std::string 当前点集{};	否
外设观察报告队列.ixx	398	结构_外设已知存在扫描结果	std::string 当前深度切片{};	否
外设观察报告队列.ixx	437	结构_外设跟踪提交包	std::string 当前ROI{};	否
外设观察报告队列.ixx	438	结构_外设跟踪提交包	std::string 当前掩码{};	否
外设观察报告队列.ixx	439	结构_外设跟踪提交包	std::string 当前点集{};	否
外设观察报告队列.ixx	440	结构_外设跟踪提交包	std::string 当前深度切片{};	否
外设观察报告队列.ixx	459	结构_外设观察报告队列项	std::string 来源外设ID{};	是
外设观察报告队列.ixx	464	结构_外设观察报告队列项	std::string 配置摘要{};	否
外设观察报告队列.ixx	465	结构_外设观察报告队列项	std::string 失败原因{};	否
外设观察报告队列.ixx	471	结构_外设观察报告队列项	std::string 原始观察帧句柄{};	是
外设观察报告队列.ixx	472	结构_外设观察报告队列项	std::string 深度帧句柄{};	是
外设观察报告队列.ixx	473	结构_外设观察报告队列项	std::string 彩色帧句柄{};	是
外设观察报告队列.ixx	474	结构_外设观察报告队列项	std::string 对齐帧句柄{};	是
外设观察报告队列.ixx	475	结构_外设观察报告队列项	std::string 空间候选队列引用{};	否
外设观察报告队列.ixx	476	结构_外设观察报告队列项	std::string 像素归属账本引用{};	否
外设观察报告队列.ixx	477	结构_外设观察报告队列项	std::string 相机内参版本{};	否
外设观察报告队列.ixx	478	结构_外设观察报告队列项	std::string 相机外参版本{};	否
外设观察报告队列.ixx	479	结构_外设观察报告队列项	std::string 坐标系版本{};	否
外设观察报告队列.ixx	480	结构_外设观察报告队列项	std::string 主分割坐标系ID{};	是
外设观察报告队列.ixx	481	结构_外设观察报告队列项	std::string 深度材料坐标系ID{};	是
外设观察报告队列.ixx	482	结构_外设观察报告队列项	std::string 左红外边缘坐标系ID{};	是
外设观察报告队列.ixx	483	结构_外设观察报告队列项	std::string RGB裁剪材料坐标系ID{};	是
外设观察报告队列.ixx	484	结构_外设观察报告队列项	std::string 像素掩码坐标系ID{};	是
外设观察报告队列.ixx	490	结构_外设观察报告队列项	std::string 报告生成方法ID{};	是
外设观察报告队列.ixx	491	结构_外设观察报告队列项	std::string 报告生成方法版本{};	否
外设观察报告队列.ixx	507	结构_外设观察报告队列项	std::string 差异摘要{};	否
外设观察报告队列.ixx	513	结构_外设观察报告队列项	std::string 跨帧采集摘要{};	否
外设观察报告队列.ixx	526	结构_外设观察报告队列项	std::string 轨迹状态generation{};	是
外设观察报告队列.ixx	530	结构_外设观察报告队列项	std::string 约束generation{};	是
外设观察报告队列.ixx	531	结构_外设观察报告队列项	std::string 目标特征generation{};	是
外设观察报告队列.ixx	532	结构_外设观察报告队列项	std::string 来源材料generation{};	是
外设观察报告队列.ixx	535	结构_外设观察报告队列项	std::string 本帧处理掩码句柄{};	是
外设观察报告队列.ixx	560	结构_外设观察等待项	std::string 来源需求ID{};	是
外设观察报告队列.ixx	561	结构_外设观察等待项	std::string 目标外设ID{};	是
外设观察报告队列.ixx	568	结构_外设观察等待项	std::string 幂等键{};	是
外设观察报告队列.ixx	571	结构_外设观察等待项	std::string 目标存在ID{};	是
外设观察报告队列.ixx	572	结构_外设观察等待项	std::string 目标特征类型ID{};	是
外设观察报告队列.ixx	575	结构_外设观察等待项	std::string 目标特征当前值句柄{};	是
外设观察报告队列.ixx	576	结构_外设观察等待项	std::string 约束generation{};	是
外设观察报告队列.ixx	577	结构_外设观察等待项	std::string 目标特征generation{};	是
外设观察报告队列.ixx	578	结构_外设观察等待项	std::string 来源材料generation{};	是
外设观察报告队列.ixx	581	结构_外设观察等待项	std::string 本帧处理掩码句柄{};	是
外设观察报告队列.ixx	588	结构_目标观察约束特征组	std::string 幂等键{};	是
外设观察报告队列.ixx	589	结构_目标观察约束特征组	std::string 来源需求ID{};	是
外设观察报告队列.ixx	590	结构_目标观察约束特征组	std::string 来源任务ID{};	是
外设观察报告队列.ixx	593	结构_目标观察约束特征组	std::string 目标存在ID{};	是
外设观察报告队列.ixx	594	结构_目标观察约束特征组	std::string 目标特征类型ID{};	是
外设观察报告队列.ixx	597	结构_目标观察约束特征组	std::string 目标特征当前值句柄{};	是
外设观察报告队列.ixx	603	结构_目标观察约束特征组	std::string ROI句柄{};	是
外设观察报告队列.ixx	604	结构_目标观察约束特征组	std::string 像素集合掩码句柄{};	是
外设观察报告队列.ixx	605	结构_目标观察约束特征组	std::string 点集句柄{};	是
外设观察报告队列.ixx	622	结构_目标观察约束特征组	std::string 约束generation{};	是
外设观察报告队列.ixx	623	结构_目标观察约束特征组	std::string 目标特征generation{};	是
外设观察报告队列.ixx	624	结构_目标观察约束特征组	std::string 来源材料generation{};	是
外设观察报告队列.ixx	694	结构_D455观察材料句柄摘要	std::string 资源类型{};	否
外设观察报告队列.ixx	708	结构_D455控制面板视频快照	std::string 失败原因{};	否
外设观察报告队列.ixx	723	结构_D455三维体素轮廓视角读取结果	std::string 失败原因{};	否
外设线程_D455深度相机.ixx	47	结构_D455深度相机观察样本	std::string 消息{};	否
线程生命周期消息模块.ixx	43	结构_线程生命周期消息	std::string 线程逻辑ID{};	是
线程生命周期消息模块.ixx	46	结构_线程生命周期消息	std::string 线程名称{};	否
线程生命周期消息模块.ixx	47	结构_线程生命周期消息	std::string 线程用途{};	否
线程生命周期消息模块.ixx	48	结构_线程生命周期消息	std::string 线程类别{};	否
线程生命周期消息模块.ixx	49	结构_线程生命周期消息	std::string 所属模块{};	否
线程生命周期消息模块.ixx	50	结构_线程生命周期消息	std::string 创建者逻辑ID{};	是
线程生命周期消息模块.ixx	51	结构_线程生命周期消息	std::string 创建者名称{};	否
线程生命周期消息模块.ixx	52	结构_线程生命周期消息	std::string 所属线程池ID{};	是
线程生命周期消息模块.ixx	53	结构_线程生命周期消息	std::string 所属线程池名称{};	否
线程生命周期消息模块.ixx	54	结构_线程生命周期消息	std::string 旧生命周期状态{};	否
线程生命周期消息模块.ixx	55	结构_线程生命周期消息	std::string 新生命周期状态{};	否
线程生命周期消息模块.ixx	56	结构_线程生命周期消息	std::string 旧运行状态{};	否
线程生命周期消息模块.ixx	57	结构_线程生命周期消息	std::string 新运行状态{};	否
线程生命周期消息模块.ixx	64	结构_线程生命周期消息	std::string 原因键{};	是
线程生命周期消息模块.ixx	65	结构_线程生命周期消息	std::string 显示摘要{};	否
线程生命周期消息模块.ixx	74	结构_控制面板线程信息项	std::string 线程逻辑ID{};	是
线程生命周期消息模块.ixx	76	结构_控制面板线程信息项	std::string 线程名称{};	否
线程生命周期消息模块.ixx	77	结构_控制面板线程信息项	std::string 线程用途{};	否
线程生命周期消息模块.ixx	78	结构_控制面板线程信息项	std::string 线程类别{};	否
线程生命周期消息模块.ixx	79	结构_控制面板线程信息项	std::string 所属模块{};	否
线程生命周期消息模块.ixx	80	结构_控制面板线程信息项	std::string 创建者逻辑ID{};	是
线程生命周期消息模块.ixx	81	结构_控制面板线程信息项	std::string 创建者名称{};	否
线程生命周期消息模块.ixx	82	结构_控制面板线程信息项	std::string 所属线程池ID{};	是
线程生命周期消息模块.ixx	83	结构_控制面板线程信息项	std::string 所属线程池名称{};	否
线程生命周期消息模块.ixx	84	结构_控制面板线程信息项	std::string 生命周期状态{};	否
线程生命周期消息模块.ixx	85	结构_控制面板线程信息项	std::string 运行状态{};	否
线程生命周期消息模块.ixx	94	结构_控制面板线程信息项	std::string 最近事件类型{};	否
线程生命周期消息模块.ixx	95	结构_控制面板线程信息项	std::string 最近事件键{};	是
线程生命周期消息模块.ixx	96	结构_控制面板线程信息项	std::string 最近事件摘要{};	否
需求类.cpp	33	结构_需求树SQL行	std::string 节点主键{};	是
需求类.cpp	34	结构_需求树SQL行	std::string 父节点主键{};	是
需求类.cpp	39	结构_需求树SQL行	std::string 路径{};	否
需求类.cpp	40	结构_需求树SQL行	std::string 节点名称{};	否
需求类.cpp	41	结构_需求树SQL行	std::string 目标语义{};	否
需求类.cpp	42	结构_需求树SQL行	std::string 逻辑组织类型{};	否
需求类.cpp	43	结构_需求树SQL行	std::string 描述信息主键{};	是
需求类.cpp	49	结构_需求树SQL行	std::string 需求主体主键{};	是
需求类.cpp	50	结构_需求树SQL行	std::string 需求场景主键{};	是
需求类.cpp	51	结构_需求树SQL行	std::string 被需求存在主键{};	是
需求类.cpp	52	结构_需求树SQL行	std::string 当前状态主键{};	是
需求类.cpp	53	结构_需求树SQL行	std::string 目标状态主键{};	是
需求类.cpp	54	结构_需求树SQL行	std::string 目标特征类型主键{};	是
需求类.cpp	55	结构_需求树SQL行	std::string 对应任务主键{};	是
需求类.cpp	62	结构_需求树SQL行	std::string 最近结算任务主键{};	是
需求类.h	63	结构_需求树更新指令	std::string 父需求主键{};	是
需求类.h	65	结构_需求树更新指令	std::string 目标需求主键{};	是
需求类.h	67	结构_需求树更新指令	std::string 需求主体主键{};	是
需求类.h	69	结构_需求树更新指令	std::string 需求场景主键{};	是
需求类.h	71	结构_需求树更新指令	std::string 被需求存在主键{};	是
需求类.h	83	结构_需求树更新指令	std::string 需求状态主键{};	是
需求类.h	85	结构_需求树更新指令	std::string 当前状态主键{};	是
需求类.h	114	结构_需求结算收束结果	std::string 最近结算任务主键{};	是
需求类.h	143	结构_需求方向签名	std::string 目标主体主键{};	是
需求类.h	144	结构_需求方向签名	std::string 目标特征类型主键{};	是
需求类.h	263	结构_逻辑组织需求更新输入	std::string 父需求主键{};	是
需求类.h	265	结构_逻辑组织需求更新输入	std::string 需求主体主键{};	是
需求类.h	267	结构_逻辑组织需求更新输入	std::string 需求场景主键{};	是
需求类.h	269	结构_逻辑组织需求更新输入	std::string 目标宿主主键{};	是
需求类.h	271	结构_逻辑组织需求更新输入	std::string 当前状态主键{};	是
需求类.h	273	结构_逻辑组织需求更新输入	std::string 目标状态主键{};	是
需求类.h	848	结构_需求目标键	std::string 目标主体主键{};	是
需求类.h	849	结构_需求目标键	std::string 目标特征类型主键{};	是
需求类.h	850	结构_需求目标键	std::string 目标状态主键{};	是
因果类.h	58	结构_因果缺失证据项	std::string 相关主键{};	是
鱼巢.cpp	1051	私有_自我线程守卫	std::string("程序退出/守卫 | SQL投影最终刷新跳过")	否
鱼巢.cpp	1638	结构_状态变化跟踪项	std::string 状态主键{};	是
鱼巢.cpp	1639	结构_状态变化跟踪项	std::string 目标宿主主键{};	是
鱼巢.cpp	1640	结构_状态变化跟踪项	std::string 特征类型文本{};	否
鱼巢.cpp	1641	结构_状态变化跟踪项	std::string 特征类型主键{};	是
鱼巢.cpp	1642	结构_状态变化跟踪项	std::string 特征值文本{};	否
语素类.cpp	293	结构_语素SQL行	std::string 节点主键{};	是
语素类.cpp	294	结构_语素SQL行	std::string 父节点主键{};	是
语素类.cpp	298	结构_语素SQL行	std::string 路径{};	否
语素类.cpp	299	结构_语素SQL行	std::string 节点类型{};	否
语素类.cpp	300	结构_语素SQL行	std::string 词面{};	否
语素类.cpp	301	结构_语素SQL行	std::string 显示文本{};	否
语素类.cpp	304	结构_语素SQL行	std::string 词性文本{};	否
语素类.cpp	307	结构_语素SQL行	std::string 信息入口类型文本{};	否
语素类.cpp	310	结构_语素SQL行	std::string 基础信息类型文本{};	否
语素类.cpp	311	结构_语素SQL行	std::string 对应基础信息主键{};	是
语言类_二次特征表达.cpp	71	结构_二次特征方向模板	std::vector<std::string> 关键词{};	是
语言类_二次特征表达.cpp	72	结构_二次特征方向模板	std::string 正向结果{};	否
语言类_二次特征表达.cpp	73	结构_二次特征方向模板	std::string 反向结果{};	否
语言类_二次特征表达.cpp	74	结构_二次特征方向模板	std::string 中性结果{};	否
自检线程模块.impl.cpp	148	结构_自检基础信息预检结果_自检	std::string 安全根需求主键{};	是
自检线程模块.impl.cpp	149	结构_自检基础信息预检结果_自检	std::string 安全根任务主键{};	是
自检线程模块.ixx	84	结构_自检线程摘要	std::vector<std::string> 最近事件列表{};	否
自我动作实现.扫描.ixx	239	结构_已合法外设数据项	std::string 来源外设ID{};	是
自我动作实现.扫描.ixx	240	结构_已合法外设数据项	std::string 来源观察存在ID{};	是
自我动作实现.扫描.ixx	241	结构_已合法外设数据项	std::string 可能归属存在ID{};	是
自我动作实现.扫描.ixx	243	结构_已合法外设数据项	std::string 约束generation{};	是
自我动作实现.扫描.ixx	244	结构_已合法外设数据项	std::string 目标特征generation{};	是
自我动作实现.扫描.ixx	245	结构_已合法外设数据项	std::string 来源材料generation{};	是
自我动作实现.扫描.ixx	264	结构_已合法外设数据项	std::string 坐标系ID{};	是
自我动作实现.外设模块.ixx	9365	结构_双目相机调用结果	std::string 消息{};	否
自我动作实现.外设模块.ixx	13365	结构_内部世界上下文	std::string ROI句柄{};	是
自我动作实现.外设模块.ixx	13366	结构_内部世界上下文	std::string 掩码句柄{};	是
自我动作实现.外设模块.ixx	13367	结构_内部世界上下文	std::string 点集句柄{};	是
自我动作实现.外设模块.ixx	13368	结构_内部世界上下文	std::string 彩色局部图句柄{};	是
自我动作实现.外设模块.ixx	13369	结构_内部世界上下文	std::string 深度局部图句柄{};	是
自我动作实现.外设模块.ixx	13895	结构_目标特征当前值约束快照	std::string 句柄{};	是
自我动作实现.外设模块.ixx	13896	结构_目标特征当前值约束快照	std::string generation{};	是
自我动作实现.外设模块.ixx	23790	结构_稳定子集扫描目标上下文桥结果	std::string 首个扫描目标存在ID{};	是
自我动作实现.外设模块.ixx	23791	结构_稳定子集扫描目标上下文桥结果	std::string 首个失败说明{};	否
自我类.ixx	35	结构_自我初始化步骤记录	std::string 名称{};	否
自我类.ixx	70	结构_自我初始化结果	std::vector<std::string> 缺失项{};	否
自我类.ixx	80	结构_线程存在初始化参数	std::string 线程标签{};	否
自我类.ixx	81	结构_线程存在初始化参数	std::string 线程类型{};	否
自我类.ixx	84	结构_线程存在初始化参数	std::string 所属线程池标签{};	否
自我类.ixx	85	结构_线程存在初始化参数	std::string 所属线程池类型{};	否
自我线程模块.消息处理器.ixx	25	结构_需求分支刷新范围	std::unordered_set<std::string> 变更前节点主键集合{};	是
自我线程模块.消息处理器.ixx	26	结构_需求分支刷新范围	std::unordered_set<std::string> 当前节点主键集合{};	是
自我线程模块.消息协议.ixx	209	结构_关键中间状态变化项	std::string 动作语义键{};	是
自我线程模块.消息协议.ixx	276	结构_执行尝试汇总	std::string 最近线程状态消息幂等键{};	是
自我线程模块.消息协议.ixx	277	结构_执行尝试汇总	std::string 最近结果消息幂等键{};	是
自我线程模块.消息协议.ixx	278	结构_执行尝试汇总	std::string 最近控制请求主键{};	是
自我线程模块.消息协议.ixx	289	结构_线程状态变化消息段	std::string 决策者标签{};	否
自我线程模块.消息协议.ixx	290	结构_线程状态变化消息段	std::string 触发动作{};	否
自我线程模块.消息协议.ixx	291	结构_线程状态变化消息段	std::string 原因键{};	是
自我线程模块.消息协议.ixx	293	结构_线程状态变化消息段	std::string 线程标签{};	否
自我线程模块.消息协议.ixx	295	结构_线程状态变化消息段	std::string 线程种类{};	否
自我线程模块.消息协议.ixx	315	结构_存在动作语义	std::string 动作语义键{};	是
自我线程模块.消息协议.ixx	343	结构_自检缺口候选消息	std::string 目标主键文本{};	是
自我线程模块.消息协议.ixx	346	结构_自检缺口候选消息	std::string 原子目标主体主键{};	是
自我线程模块.消息协议.ixx	348	结构_自检缺口候选消息	std::string 原子目标特征类型主键{};	是
自我线程模块.消息协议.ixx	350	结构_自检缺口候选消息	std::string 原子最初状态主键{};	是
自我线程模块.消息协议.ixx	352	结构_自检缺口候选消息	std::string 原子当前状态主键{};	是
自我线程模块.消息协议.ixx	354	结构_自检缺口候选消息	std::string 原子目标状态主键{};	是
自我线程模块.消息协议.ixx	365	结构_自检缺口候选消息	std::string 幂等键{};	是
自我线程模块.消息协议.ixx	407	结构_治理消息	std::string 载荷键{};	是
自我线程模块.消息协议.ixx	408	结构_治理消息	std::string 摘要{};	否
自我线程模块.impl.cpp	333	结构_根特征必要条件定义_线程侧	std::string 条件键{};	是
自我线程模块.impl.cpp	334	结构_根特征必要条件定义_线程侧	std::string 检查宿主语义{};	否
自我线程模块.impl.cpp	337	结构_根特征必要条件定义_线程侧	std::string 目标状态文本{};	否
自我线程模块.impl.cpp	339	结构_根特征必要条件定义_线程侧	std::string 缺口需求名称文本{};	否
自我线程模块.impl.cpp	371	结构_根闭环信息位_线程侧	std::string 根定义编号{};	否
自我线程模块.impl.cpp	372	结构_根闭环信息位_线程侧	std::string 闭环位置{};	否
自我线程模块.impl.cpp	373	结构_根闭环信息位_线程侧	std::string 事实类型{};	否
自我线程模块.impl.cpp	375	结构_根闭环信息位_线程侧	std::string 目标语义要求{};	否
自我线程模块.impl.cpp	376	结构_根闭环信息位_线程侧	std::string 闭合证据{};	否
自我线程模块.impl.cpp	377	结构_根闭环信息位_线程侧	std::string 缺口类型{};	否
自我线程模块.impl.cpp	379	结构_根闭环信息位_线程侧	std::string 回写目标{};	否
自我线程模块.impl.cpp	380	结构_根闭环信息位_线程侧	std::string 下一轮判断入口{};	否
自我线程模块.impl.cpp	702	结构_线程任务价值反馈段	std::string 反馈事件主键{};	是
自我线程模块.impl.cpp	4780	结构_横向结算候选_线程侧	std::string 需求主键{};	是
自我线程模块.impl.cpp	4781	结构_横向结算候选_线程侧	std::string 任务主键{};	是
自我线程模块.impl.cpp	9058	结构_自检候选父需求裁决_线程侧	std::string 来源因果主键{};	是
自我线程模块.ixx	84	结构_线程状态切换上报参数	std::string 决策者标签{};	否
自我线程模块.ixx	85	结构_线程状态切换上报参数	std::string 触发动作{};	否
自我线程模块.ixx	86	结构_线程状态切换上报参数	std::string 原因键{};	是
自我线程模块.ixx	101	结构_需求列表项	std::string 目标特征名称{};	否
自我线程模块.ixx	103	结构_需求列表项	std::string 需求节点主键{};	是
自我线程模块.ixx	122	结构_循环结果	std::string 任务管理当前去向{};	否
自我线程模块.ixx	143	结构_自我线程最小状态快照	std::string 当前任务虚拟存在主键{};	是
自我线程模块.ixx	162	结构_自检报告修复治理快照	std::string 最近报告处置{};	否
自我线程模块.ixx	163	结构_自检报告修复治理快照	std::string 摘要{};	否
自我线程模块.ixx	167	结构_需求候选快照	std::string 候选类型{};	否
自我线程模块.ixx	168	结构_需求候选快照	std::string 来源消息类型{};	否
自我线程模块.ixx	169	结构_需求候选快照	std::string 当前方法主键{};	是
自我线程模块.ixx	175	结构_需求候选快照	std::string 摘要{};	否
自我线程模块.ixx	179	结构_任务权重候选快照	std::string 对象类型{};	否
自我线程模块.ixx	184	结构_任务权重候选快照	std::string 摘要{};	否
自我线程模块.ixx	193	结构_父子依赖权重候选快照	std::string 摘要{};	否
自我线程模块.ixx	197	结构_方法禁止项快照	std::string 方法主键{};	是
自我线程模块.ixx	198	结构_方法禁止项快照	std::string 来源消息类型{};	否
自我线程模块.ixx	199	结构_方法禁止项快照	std::string 禁止项类别{};	否
自我线程模块.ixx	200	结构_方法禁止项快照	std::string 方向区间{};	否
自我线程模块.ixx	206	结构_方法禁止项快照	std::string 摘要{};	否
自我线程模块.ixx	212	结构_需求与权重治理输出快照	std::string 主导需求候选{};	否
自我线程模块.ixx	215	结构_需求与权重治理输出快照	std::string 摘要{};	否
自我线程模块.ixx	223	结构_主派发动作快照	std::string 动作类型{};	否
自我线程模块.ixx	227	结构_主派发动作快照	std::string 目标队列{};	否
自我线程模块.ixx	228	结构_主派发动作快照	std::string 摘要{};	否
自我线程模块.ixx	232	结构_队列裁决快照	std::string 队列名称{};	否
自我线程模块.ixx	235	结构_队列裁决快照	std::string 裁决{};	否
自我线程模块.ixx	236	结构_队列裁决快照	std::string 摘要{};	否
自我线程模块.ixx	240	结构_队列成员快照	std::string 成员稳定键{};	是
自我线程模块.ixx	246	结构_队列成员快照	std::string 来源分类{};	否
自我线程模块.ixx	247	结构_队列成员快照	std::string 来源动作{};	否
自我线程模块.ixx	248	结构_队列成员快照	std::string 最近事件摘要{};	否
自我线程模块.ixx	252	结构_队列成员事件快照	std::string 成员稳定键{};	是
自我线程模块.ixx	256	结构_队列成员事件快照	std::string 来源分类{};	否
自我线程模块.ixx	257	结构_队列成员事件快照	std::string 来源动作{};	否
自我线程模块.ixx	258	结构_队列成员事件快照	std::string 摘要{};	否
自我线程模块.ixx	262	结构_队列治理状态快照	std::string 队列名称{};	否
自我线程模块.ixx	274	结构_队列治理状态快照	std::string 数量口径{};	否
自我线程模块.ixx	283	结构_队列治理状态快照	std::string 摘要{};	否
自我线程模块.ixx	288	结构_队列治理输出快照	std::string 摘要{};	否
自我线程模块.ixx	294	结构_派发占用登记快照	std::string 动作类型{};	否
自我线程模块.ixx	300	结构_派发占用登记快照	std::string 占用对象键{};	是
自我线程模块.ixx	301	结构_派发占用登记快照	std::string 摘要{};	否
自我线程模块.ixx	306	结构_派发回执快照	std::string 动作类型{};	否
自我线程模块.ixx	313	结构_派发回执快照	std::string 摘要{};	否
自我线程模块.ixx	385	结构_主派发输出快照	std::string 优先级链命中层{};	否
自我线程模块.ixx	386	结构_主派发输出快照	std::string 主派发摘要{};	否
自我线程模块.ixx	387	结构_主派发输出快照	std::string 当前去向{};	否
自我线程模块.ixx	404	结构_回流结算快照	std::string 回流队列键{};	是
自我线程模块.ixx	405	结构_回流结算快照	std::string 父任务协调键{};	是
自我线程模块.ixx	406	结构_回流结算快照	std::string 父任务协调阶段{};	否
自我线程模块.ixx	407	结构_回流结算快照	std::string 摘要{};	否
自我线程模块.ixx	414	结构_否定项快照	std::string 摘要{};	否
自我线程模块.ixx	423	结构_缺口触发快照	std::string 样本类别{};	否
自我线程模块.ixx	424	结构_缺口触发快照	std::string 摘要{};	否
自我线程模块.ixx	433	结构_关键中间状态快照	std::string 动作语义键{};	是
自我线程模块.ixx	434	结构_关键中间状态快照	std::string 特征沉淀键{};	是
自我线程模块.ixx	435	结构_关键中间状态快照	std::string 来源消息类型{};	否
自我线程模块.ixx	436	结构_关键中间状态快照	std::string 摘要{};	否
自我线程模块.ixx	440	结构_关键中间状态分组快照	std::string 特征沉淀键{};	是
自我线程模块.ixx	441	结构_关键中间状态分组快照	std::string 来源消息类型{};	否
自我线程模块.ixx	445	结构_关键中间状态分组快照	std::string 最近动作语义键{};	是
自我线程模块.ixx	446	结构_关键中间状态分组快照	std::string 摘要{};	否
自我线程模块.ixx	457	结构_双值结算账快照	std::string 摘要{};	否
自我线程模块.ixx	467	结构_缺口恢复接口快照	std::string 摘要{};	否
自我线程模块.ixx	469	结构_缺口恢复接口快照	std::string 请求类型{};	否
自我线程模块.ixx	474	结构_缺口恢复接口快照	std::string 摘要{};	否
自我线程模块.ixx	488	结构_结算治理输出快照	std::string 摘要{};	否
自我线程模块.ixx	659	结构_根层判定结果	std::string 优先级链命中层{};	否
自我线程模块.ixx	660	结构_根层判定结果	std::string 摘要{};	否
自我线程模块.ixx	670	结构_主派发动作	std::string 目标队列{};	否
自我线程模块.ixx	671	结构_主派发动作	std::string 摘要{};	否
自我线程模块.ixx	679	结构_队列裁决	std::string 队列名称{};	否
自我线程模块.ixx	680	结构_队列裁决	std::string 裁决{};	否
自我线程模块.ixx	681	结构_队列裁决	std::string 摘要{};	否
自我线程模块.ixx	694	结构_派发回执	std::string 摘要{};	否
自我线程模块.ixx	708	结构_派发占用登记	std::string 占用对象键{};	是
自我线程模块.ixx	709	结构_派发占用登记	std::string 摘要{};	否
自我线程模块.ixx	732	结构_队列治理对象	std::string 成员稳定键{};	是
自我线程模块.ixx	739	结构_队列治理对象	std::string 来源动作{};	否
自我线程模块.ixx	740	结构_队列治理对象	std::string 最近事件摘要{};	否
自我线程模块.ixx	745	结构_队列治理对象	std::string 队列名称{};	否
自我线程模块.ixx	759	结构_队列治理对象	std::string 数量口径{};	否
自我线程模块.ixx	781	结构_结果路由动作	std::string 父任务协调键{};	是
自我线程模块.ixx	782	结构_结果路由动作	std::string 父任务协调阶段{};	否
自我线程模块.ixx	783	结构_结果路由动作	std::string 摘要{};	否
自我线程模块.ixx	798	结构_回流结算草稿	std::string 回流队列键{};	是
自我线程模块.ixx	799	结构_回流结算草稿	std::string 父任务协调键{};	是
自我线程模块.ixx	800	结构_回流结算草稿	std::string 父任务协调阶段{};	否
自我线程模块.ixx	801	结构_回流结算草稿	std::string 摘要{};	否
自我线程模块.ixx	809	结构_否定项候选	std::string 摘要{};	否
自我线程模块.ixx	818	结构_缺口触发项	std::string 样本类别{};	否
自我线程模块.ixx	819	结构_缺口触发项	std::string 摘要{};	否
自我线程模块.ixx	828	结构_关键中间状态沉淀项	std::string 动作语义键{};	是
自我线程模块.ixx	829	结构_关键中间状态沉淀项	std::string 特征沉淀键{};	是
自我线程模块.ixx	830	结构_关键中间状态沉淀项	std::string 来源消息类型{};	否
自我线程模块.ixx	831	结构_关键中间状态沉淀项	std::string 摘要{};	否
自我线程模块.ixx	846	结构_本轮结算封口	std::string 摘要{};	否
自我线程模块.ixx	974	结构_待处理自检报告项	std::string 处置类型{};	否
自我线程模块.ixx	975	结构_待处理自检报告项	std::string 休眠期候选动作{};	否
自我线程模块.ixx	976	结构_待处理自检报告项	std::string 幂等键{};	是
自我线程模块.ixx	977	结构_待处理自检报告项	std::string 摘要{};	否
